technicianId,serviceId,distribution_offset,distribution
0,0,57.96812512462379,"0 0 0"
1,0,63.785293283973566,"0 0 0"
2,0,69.01497612643821,"0 0 0"
3,0,57.92390794798067,"0 0 0"
4,0,58.60822120132812,"0 0 0"
5,0,51.95467259820347,"0 0 0"
0,1,68.16812863923577,"0 0 0"
1,1,44.46746528072922,"0 0 0"
2,1,56.49347706262811,"0 0 0"
3,1,56.118069508683824,"0 0 0"
4,1,61.15903032162543,"0 0 0"
5,1,53.155600594918816,"0 0 0"
0,2,64.66198476420921,"0 0 0"
1,2,0,"2 0.03816010241997301 1"
2,2,67.95993534316138,"0 0 0"
3,2,72.64681139708762,"0 0 0"
4,2,0,"5 0.13845773257622052 0.7499999999999999 11 0.076479592633942 0.2500000000000001"
5,2,61.82116507521908,"0 0 0"
0,3,50.62944852991091,"0 0 0"
1,3,62.854560527471925,"0 0 0"
2,3,0,"2 0.031134531108147227 1"
3,3,0,"2 0.03417781757550765 1"
4,3,50.76918978230367,"0 0 0"
5,3,54.19501437169272,"0 0 0"
0,4,64.57409890438815,"0 0 0"
1,4,9.045463775275415,"1 0.01963709451910949 1"
2,4,57.97529151145513,"0 0 0"
3,4,54.96159729216344,"0 0 0"
4,4,62.72769951879257,"0 0 0"
5,4,61.21092003055425,"0 0 0"
0,5,55.82994198152055,"0 0 0"
1,5,60.85909009648316,"0 0 0"
2,5,0,"2 0.03206041988370332 1"
3,5,59.85166652405041,"0 0 0"
4,5,71.11565268176702,"0 0 0"
5,5,45.78620857309088,"0 0 0"
0,6,-16.69023540894114,"1 0.01737602927397498 1"
1,6,55.45484439002544,"0 0 0"
2,6,0,"2 0.0368250981085506 1"
3,6,0,"2 0.037946733757129175 1"
4,6,44.99019657966146,"0 0 0"
5,6,0,"2 0.026252703677583224 1"
0,7,59.35101178986978,"0 0 0"
1,7,50.44875282804169,"0 0 0"
2,7,0,"3 0.09442120702543763 0.7499999999999999 10 0.0681427057397292 0.2500000000000001"
3,7,73.44789058462054,"0 0 0"
4,7,62.10284610197798,"0 0 0"
5,7,68.61498212051367,"0 0 0"
0,8,68.1770798030792,"0 0 0"
1,8,59.637166237686976,"0 0 0"
2,8,72.31448531049526,"0 0 0"
3,8,57.662679167474415,"0 0 0"
4,8,12.79085404164767,"1 0.021023293144227156 1"
5,8,56.48715788800551,"0 0 0"
0,9,0,"2 0.04806486151945733 1"
1,9,54.544719677276646,"0 0 0"
2,9,17.711701190413656,"1 0.021681060946464433 1"
3,9,70.24110918617124,"0 0 0"
4,9,54.222637637037636,"0 0 0"
5,9,0,"2 0.03652125338037865 1"
0,10,54.67112810940555,"0 0 0"
1,10,0,"2 0.041267598132265215 1"
2,10,48.376872355868905,"0 0 0"
3,10,53.21853656916379,"0 0 0"
4,10,62.18795722992693,"0 0 0"
5,10,2.0897649876487563,"1 0.01857880439196786 1"
0,11,76.74136112583489,"0 0 0"
1,11,57.775663369064134,"0 0 0"
2,11,12.237173604171787,"1 0.01910003293673515 1"
3,11,61.32264036867655,"0 0 0"
4,11,24.91944759626874,"1 0.019111434344851262 1"
5,11,54.514614797564306,"0 0 0"
0,12,0,"2 0.043531778824973985 1"
1,12,16.43515174741802,"1 0.018311780763198542 1"
2,12,59.31329971329199,"0 0 0"
3,12,64.60334732838899,"0 0 0"
4,12,0,"2 0.039173859449153074 1"
5,12,52.46324177908322,"0 0 0"
0,13,68.8033421281064,"0 0 0"
1,13,0,"2 0.031850541385482704 1"
2,13,67.26489343112063,"0 0 0"
3,13,69.32937194981578,"0 0 0"
4,13,62.901500688045836,"0 0 0"
5,13,67.60115219612865,"0 0 0"
0,14,65.54302242704726,"0 0 0"
1,14,44.17823813516537,"0 0 0"
2,14,57.582967875438854,"0 0 0"
3,14,57.874035164935634,"0 0 0"
4,14,64.16100694852528,"0 0 0"
5,14,0,"2 0.038559104484351646 1"
0,15,71.19786334078506,"0 0 0"
1,15,0,"3 0.10382097174706978 0.7500000000000001 9 0.060672747866736716 0.2499999999999999"
2,15,67.75105082555172,"0 0 0"
3,15,68.99415866234882,"0 0 0"
4,15,65.81214866493104,"0 0 0"
5,15,73.26060355339766,"0 0 0"
0,16,12.8100008577442,"1 0.01929287032842967 1"
1,16,0,"2 0.031114428492983858 1"
2,16,52.71766438626727,"0 0 0"
3,16,60.24669191031291,"0 0 0"
4,16,45.41787113438665,"0 0 0"
5,16,5.12193683920718,"1 0.01687955409595491 1"
0,17,0,"2 0.03176014024112844 1"
1,17,12.435370129726401,"1 0.02049646597436922 1"
2,17,80.46146142383263,"0 0 0"
3,17,58.39003125428738,"0 0 0"
4,17,26.817743460147767,"1 0.020346451686257247 1"
5,17,74.26313057872264,"0 0 0"
0,18,66.43214613069885,"0 0 0"
1,18,57.01297241642432,"0 0 0"
2,18,58.824189798982715,"0 0 0"
3,18,61.49167289611998,"0 0 0"
4,18,65.910855815241,"0 0 0"
5,18,21.260346501188103,"1 0.020851213242189155 1"
0,19,64.44949645114819,"0 0 0"
1,19,51.06271699461988,"0 0 0"
2,19,0,"2 0.03218038833862084 1"
3,19,69.00456272187132,"0 0 0"
4,19,67.35383028936758,"0 0 0"
5,19,55.91586360413697,"0 0 0"
0,20,68.66116677078574,"0 0 0"
1,20,28.694050623371922,"1 0.02131276917395754 1"
2,20,13.84197018370606,"1 0.020522558721203003 1"
3,20,54.414239767980746,"0 0 0"
4,20,77.49225802798976,"0 0 0"
5,20,64.72318816168995,"0 0 0"
0,21,63.48462061137814,"0 0 0"
1,21,55.66699311241098,"0 0 0"
2,21,0,"2 0.037713493422875555 1"
3,21,70.68258369647825,"0 0 0"
4,21,77.67478342584151,"0 0 0"
5,21,17.503701666940152,"1 0.021508163281859716 1"
0,22,65.87453990938342,"0 0 0"
1,22,0,"2 0.025379006660818437 1"
2,22,10.356296161921001,"1 0.01809965535546866 1"
3,22,74.13916187009022,"0 0 0"
4,22,60.4197687827034,"0 0 0"
5,22,0,"2 0.028086298020547358 1"
0,23,70.08340060111577,"0 0 0"
1,23,57.26024831778384,"0 0 0"
2,23,-11.196066971197261,"1 0.01751656111619754 1"
3,23,51.058514868301245,"0 0 0"
4,23,73.18783136342229,"0 0 0"
5,23,64.72731162912544,"0 0 0"
0,24,49.355188521613584,"0 0 0"
1,24,61.18150771837313,"0 0 0"
2,24,58.04479014363365,"0 0 0"
3,24,56.766889410908945,"0 0 0"
4,24,56.20401186351993,"0 0 0"
5,24,57.87774878090622,"0 0 0"
0,25,66.5681555602702,"0 0 0"
1,25,60.084824747663376,"0 0 0"
2,25,67.79875860828433,"0 0 0"
3,25,10.514054714369443,"1 0.017951439746838518 1"
4,25,59.565835619712544,"0 0 0"
5,25,52.01857042128685,"0 0 0"
0,26,54.38622970077985,"0 0 0"
1,26,60.1512049107947,"0 0 0"
2,26,0,"2 0.039664078346153125 1"
3,26,58.97106697513507,"0 0 0"
4,26,49.145893078959375,"0 0 0"
5,26,56.538630509286705,"0 0 0"
0,27,75.09326851289866,"0 0 0"
1,27,63.413563115436666,"0 0 0"
2,27,56.79176696751387,"0 0 0"
3,27,60.15903411312639,"0 0 0"
4,27,9.64238387612835,"1 0.01914082420991146 1"
5,27,13.603520006750607,"1 0.019670533887469775 1"
0,28,63.05859720968809,"0 0 0"
1,28,56.377653126580256,"0 0 0"
2,28,51.63376269056003,"0 0 0"
3,28,61.12250219044177,"0 0 0"
