serviceId,locationId,start_time,end_time
0,15,07:30:00 AM,11:30:00 AM
1,115,12:00:00 PM,16:00:00 PM
2,77,09:30:00 AM,15:30:00 PM
3,60,10:45:00 AM,14:45:00 PM
4,154,08:30:00 AM,14:30:00 PM
5,18,15:15:00 PM,17:15:00 PM
6,156,09:00:00 AM,15:00:00 PM
7,118,12:15:00 PM,16:15:00 PM
8,179,13:00:00 PM,17:00:00 PM
9,132,07:45:00 AM,13:45:00 PM
10,193,10:30:00 AM,16:30:00 PM
11,51,06:45:00 AM,10:45:00 AM
12,192,10:45:00 AM,14:45:00 PM
13,3,07:15:00 AM,13:15:00 PM
14,128,15:00:00 PM,17:00:00 PM
15,197,09:15:00 AM,15:15:00 PM
16,5,12:30:00 PM,16:30:00 PM
17,215,10:00:00 AM,14:00:00 PM
18,183,08:30:00 AM,14:30:00 PM
19,54,08:30:00 AM,12:30:00 PM
20,64,08:00:00 AM,12:00:00 PM
21,83,12:45:00 PM,16:45:00 PM
22,9,13:15:00 PM,17:15:00 PM
23,202,09:45:00 AM,15:45:00 PM
24,10,09:45:00 AM,11:45:00 AM
25,135,11:30:00 AM,15:30:00 PM
26,139,07:00:00 AM,09:00:00 AM
27,11,07:15:00 AM,13:15:00 PM
28,53,10:00:00 AM,14:00:00 PM
29,34,07:00:00 AM,13:00:00 PM
30,158,08:00:00 AM,10:00:00 AM
31,134,10:30:00 AM,14:30:00 PM
32,153,08:30:00 AM,14:30:00 PM
33,59,11:00:00 AM,15:00:00 PM
34,40,12:45:00 PM,16:45:00 PM
35,73,10:15:00 AM,14:15:00 PM
36,88,10:30:00 AM,16:30:00 PM
37,167,15:00:00 PM,17:00:00 PM
38,104,07:30:00 AM,11:30:00 AM
39,191,12:30:00 PM,14:30:00 PM
40,2,07:45:00 AM,13:45:00 PM
41,119,08:00:00 AM,12:00:00 PM
42,159,07:00:00 AM,09:00:00 AM
43,70,13:30:00 PM,15:30:00 PM
44,121,08:15:00 AM,14:15:00 PM
45,47,07:30:00 AM,11:30:00 AM
46,148,12:45:00 PM,16:45:00 PM
47,127,13:15:00 PM,15:15:00 PM
48,89,13:00:00 PM,17:00:00 PM
49,13,08:15:00 AM,14:15:00 PM
50,57,14:45:00 PM,16:45:00 PM
51,107,07:45:00 AM,13:45:00 PM
52,164,10:15:00 AM,16:15:00 PM
53,23,10:00:00 AM,16:00:00 PM
54,177,14:30:00 PM,16:30:00 PM
55,151,11:15:00 AM,15:15:00 PM
56,7,10:45:00 AM,14:45:00 PM
57,204,09:45:00 AM,13:45:00 PM
58,45,08:45:00 AM,10:45:00 AM
59,32,07:15:00 AM,13:15:00 PM
60,58,07:30:00 AM,09:30:00 AM
61,157,10:15:00 AM,16:15:00 PM
62,6,09:45:00 AM,13:45:00 PM
63,112,10:15:00 AM,16:15:00 PM
64,50,08:15:00 AM,12:15:00 PM
65,43,11:45:00 AM,15:45:00 PM
66,17,08:00:00 AM,14:00:00 PM
67,85,08:00:00 AM,14:00:00 PM
68,90,10:30:00 AM,12:30:00 PM
69,82,11:30:00 AM,15:30:00 PM
70,42,10:15:00 AM,14:15:00 PM
71,108,08:45:00 AM,14:45:00 PM
72,220,07:30:00 AM,13:30:00 PM
73,198,11:00:00 AM,15:00:00 PM
74,97,12:00:00 PM,16:00:00 PM
75,99,11:45:00 AM,15:45:00 PM
76,66,09:00:00 AM,13:00:00 PM
77,203,09:45:00 AM,15:45:00 PM
78,211,08:30:00 AM,12:30:00 PM
79,95,10:30:00 AM,16:30:00 PM
80,176,09:45:00 AM,13:45:00 PM
81,200,09:30:00 AM,15:30:00 PM
82,55,12:45:00 PM,14:45:00 PM
83,185,10:45:00 AM,12:45:00 PM
84,172,07:00:00 AM,13:00:00 PM
85,184,07:30:00 AM,11:30:00 AM
86,161,10:15:00 AM,16:15:00 PM
87,180,06:45:00 AM,10:45:00 AM
88,44,08:45:00 AM,14:45:00 PM
89,26,08:00:00 AM,14:00:00 PM
90,178,11:00:00 AM,15:00:00 PM
91,46,10:45:00 AM,12:45:00 PM
92,122,13:45:00 PM,15:45:00 PM
93,144,10:15:00 AM,12:15:00 PM
94,146,10:30:00 AM,12:30:00 PM
95,81,08:45:00 AM,10:45:00 AM
96,175,08:45:00 AM,10:45:00 AM
97,69,14:15:00 PM,16:15:00 PM
98,168,11:15:00 AM,17:15:00 PM
99,75,08:15:00 AM,14:15:00 PM
