serviceId,locationId,start_time,end_time
0,9,08:00:00 AM,14:00:00 PM
1,17,11:30:00 AM,15:30:00 PM
2,24,10:30:00 AM,14:30:00 PM
3,74,08:45:00 AM,10:45:00 AM
4,112,13:30:00 PM,15:30:00 PM
5,183,08:30:00 AM,10:30:00 AM
6,13,07:30:00 AM,09:30:00 AM
7,1,09:30:00 AM,15:30:00 PM
8,94,07:15:00 AM,11:15:00 AM
9,69,09:45:00 AM,11:45:00 AM
10,117,09:30:00 AM,11:30:00 AM
11,123,09:15:00 AM,13:15:00 PM
12,2,11:00:00 AM,13:00:00 PM
13,212,10:15:00 AM,12:15:00 PM
14,68,08:00:00 AM,12:00:00 PM
15,46,06:30:00 AM,12:30:00 PM
16,187,09:30:00 AM,11:30:00 AM
17,10,10:00:00 AM,12:00:00 PM
18,114,09:30:00 AM,15:30:00 PM
19,20,11:00:00 AM,13:00:00 PM
20,220,07:45:00 AM,11:45:00 AM
21,202,09:45:00 AM,13:45:00 PM
22,206,09:00:00 AM,11:00:00 AM
23,22,11:00:00 AM,13:00:00 PM
24,153,08:00:00 AM,10:00:00 AM
25,113,13:30:00 PM,15:30:00 PM
26,95,11:00:00 AM,15:00:00 PM
27,126,06:45:00 AM,08:45:00 AM
28,151,07:00:00 AM,13:00:00 PM
29,8,10:15:00 AM,14:15:00 PM
30,92,10:45:00 AM,14:45:00 PM
31,156,13:15:00 PM,15:15:00 PM
32,142,06:30:00 AM,12:30:00 PM
33,103,13:15:00 PM,15:15:00 PM
34,11,08:00:00 AM,10:00:00 AM
35,216,10:00:00 AM,12:00:00 PM
36,194,08:00:00 AM,10:00:00 AM
37,213,11:00:00 AM,13:00:00 PM
38,39,13:15:00 PM,15:15:00 PM
39,102,07:00:00 AM,11:00:00 AM
40,178,11:45:00 AM,13:45:00 PM
41,89,06:45:00 AM,10:45:00 AM
42,128,10:45:00 AM,12:45:00 PM
43,88,11:15:00 AM,13:15:00 PM
44,184,07:00:00 AM,13:00:00 PM
45,116,11:45:00 AM,13:45:00 PM
46,131,10:15:00 AM,14:15:00 PM
47,0,13:00:00 PM,15:00:00 PM
48,136,07:15:00 AM,09:15:00 AM
49,108,07:30:00 AM,09:30:00 AM
50,32,08:45:00 AM,12:45:00 PM
51,80,09:30:00 AM,15:30:00 PM
52,23,13:15:00 PM,15:15:00 PM
53,132,08:45:00 AM,14:45:00 PM
54,188,09:15:00 AM,13:15:00 PM
55,58,11:30:00 AM,15:30:00 PM
56,210,09:15:00 AM,13:15:00 PM
57,34,07:15:00 AM,09:15:00 AM
58,99,11:45:00 AM,13:45:00 PM
59,67,13:00:00 PM,15:00:00 PM
60,169,11:00:00 AM,13:00:00 PM
61,70,11:15:00 AM,13:15:00 PM
62,129,09:30:00 AM,11:30:00 AM
63,190,11:30:00 AM,13:30:00 PM
64,185,07:45:00 AM,13:45:00 PM
65,152,08:15:00 AM,12:15:00 PM
66,37,07:30:00 AM,09:30:00 AM
67,111,11:00:00 AM,15:00:00 PM
68,200,07:30:00 AM,13:30:00 PM
69,176,11:45:00 AM,15:45:00 PM
70,86,09:45:00 AM,11:45:00 AM
71,40,08:45:00 AM,14:45:00 PM
72,15,07:45:00 AM,11:45:00 AM
73,31,11:15:00 AM,15:15:00 PM
74,134,08:15:00 AM,10:15:00 AM
75,19,07:45:00 AM,09:45:00 AM
76,127,13:15:00 PM,15:15:00 PM
77,215,06:30:00 AM,08:30:00 AM
78,76,06:45:00 AM,10:45:00 AM
79,59,12:30:00 PM,14:30:00 PM
80,146,06:45:00 AM,12:45:00 PM
81,181,08:15:00 AM,12:15:00 PM
82,135,09:15:00 AM,15:15:00 PM
83,57,09:00:00 AM,15:00:00 PM
84,66,07:45:00 AM,09:45:00 AM
85,130,08:30:00 AM,14:30:00 PM
86,12,11:30:00 AM,15:30:00 PM
87,75,09:30:00 AM,11:30:00 AM
88,50,07:15:00 AM,09:15:00 AM
89,62,07:30:00 AM,11:30:00 AM
90,45,09:45:00 AM,15:45:00 PM
91,36,13:00:00 PM,15:00:00 PM
92,197,09:45:00 AM,11:45:00 AM
93,191,09:45:00 AM,13:45:00 PM
94,160,11:30:00 AM,13:30:00 PM
95,179,07:00:00 AM,09:00:00 AM
96,4,07:00:00 AM,13:00:00 PM
97,157,10:45:00 AM,14:45:00 PM
98,223,06:45:00 AM,10:45:00 AM
99,173,09:00:00 AM,11:00:00 AM
