serviceId,locationId,start_time,end_time
0,385,06:15:00 AM,12:15:00 PM
1,709,09:15:00 AM,15:15:00 PM
2,57,12:15:00 PM,16:15:00 PM
3,364,06:30:00 AM,10:30:00 AM
4,531,07:30:00 AM,13:30:00 PM
5,541,08:45:00 AM,12:45:00 PM
6,425,10:15:00 AM,14:15:00 PM
7,416,09:45:00 AM,15:45:00 PM
8,574,06:30:00 AM,10:30:00 AM
9,485,11:45:00 AM,15:45:00 PM
10,182,07:15:00 AM,13:15:00 PM
11,530,09:15:00 AM,15:15:00 PM
12,471,11:00:00 AM,15:00:00 PM
13,402,09:15:00 AM,13:15:00 PM
14,178,08:00:00 AM,12:00:00 PM
15,237,12:00:00 PM,16:00:00 PM
16,103,10:15:00 AM,16:15:00 PM
17,771,07:45:00 AM,11:45:00 AM
18,177,12:15:00 PM,16:15:00 PM
19,746,06:45:00 AM,12:45:00 PM
20,661,11:15:00 AM,17:15:00 PM
21,388,08:00:00 AM,12:00:00 PM
22,105,11:45:00 AM,15:45:00 PM
23,577,07:00:00 AM,13:00:00 PM
24,86,11:15:00 AM,17:15:00 PM
25,622,09:15:00 AM,15:15:00 PM
26,128,09:00:00 AM,13:00:00 PM
27,285,09:15:00 AM,15:15:00 PM
28,374,07:15:00 AM,13:15:00 PM
29,505,11:15:00 AM,17:15:00 PM
30,120,06:30:00 AM,12:30:00 PM
31,341,13:15:00 PM,15:15:00 PM
32,166,09:30:00 AM,15:30:00 PM
33,270,07:00:00 AM,13:00:00 PM
34,65,10:15:00 AM,16:15:00 PM
35,113,10:15:00 AM,14:15:00 PM
36,382,12:30:00 PM,16:30:00 PM
37,287,10:45:00 AM,16:45:00 PM
38,423,08:30:00 AM,14:30:00 PM
39,560,10:30:00 AM,16:30:00 PM
40,687,13:30:00 PM,15:30:00 PM
41,461,07:45:00 AM,13:45:00 PM
42,498,08:30:00 AM,14:30:00 PM
43,329,11:15:00 AM,17:15:00 PM
44,715,11:00:00 AM,17:00:00 PM
45,719,13:00:00 PM,15:00:00 PM
46,243,10:30:00 AM,16:30:00 PM
47,727,07:00:00 AM,11:00:00 AM
48,604,06:30:00 AM,12:30:00 PM
49,301,09:45:00 AM,15:45:00 PM
50,351,10:45:00 AM,12:45:00 PM
51,265,11:45:00 AM,15:45:00 PM
52,738,07:15:00 AM,11:15:00 AM
53,257,14:30:00 PM,16:30:00 PM
54,406,09:45:00 AM,15:45:00 PM
55,131,09:15:00 AM,15:15:00 PM
56,637,07:45:00 AM,11:45:00 AM
57,414,08:30:00 AM,12:30:00 PM
58,442,07:45:00 AM,13:45:00 PM
59,768,11:45:00 AM,13:45:00 PM
60,469,06:45:00 AM,12:45:00 PM
61,578,07:30:00 AM,13:30:00 PM
62,539,10:30:00 AM,16:30:00 PM
63,734,13:15:00 PM,15:15:00 PM
64,262,11:15:00 AM,15:15:00 PM
65,499,13:15:00 PM,17:15:00 PM
66,96,11:00:00 AM,15:00:00 PM
67,459,13:30:00 PM,15:30:00 PM
68,590,12:30:00 PM,16:30:00 PM
69,335,10:45:00 AM,14:45:00 PM
70,635,06:00:00 AM,10:00:00 AM
71,115,10:45:00 AM,16:45:00 PM
72,410,07:15:00 AM,13:15:00 PM
73,22,12:30:00 PM,16:30:00 PM
74,15,06:15:00 AM,12:15:00 PM
75,276,06:15:00 AM,12:15:00 PM
76,174,10:15:00 AM,16:15:00 PM
77,371,09:00:00 AM,13:00:00 PM
78,532,07:00:00 AM,13:00:00 PM
79,294,13:45:00 PM,15:45:00 PM
80,699,08:00:00 AM,12:00:00 PM
81,61,10:45:00 AM,14:45:00 PM
82,705,10:30:00 AM,16:30:00 PM
83,668,11:45:00 AM,15:45:00 PM
84,669,08:15:00 AM,10:15:00 AM
85,377,08:45:00 AM,14:45:00 PM
86,538,12:15:00 PM,16:15:00 PM
87,633,12:45:00 PM,16:45:00 PM
88,343,10:30:00 AM,16:30:00 PM
89,645,12:15:00 PM,16:15:00 PM
90,353,10:15:00 AM,16:15:00 PM
91,654,12:45:00 PM,16:45:00 PM
92,256,13:15:00 PM,15:15:00 PM
93,78,09:45:00 AM,11:45:00 AM
94,585,09:15:00 AM,13:15:00 PM
95,556,13:30:00 PM,15:30:00 PM
96,419,14:00:00 PM,16:00:00 PM
97,81,09:45:00 AM,11:45:00 AM
98,567,08:45:00 AM,12:45:00 PM
99,361,10:15:00 AM,16:15:00 PM
