serviceId,locationId,start_time,end_time
0,443,10:30:00 AM,14:30:00 PM
1,478,09:00:00 AM,13:00:00 PM
2,909,07:30:00 AM,09:30:00 AM
3,710,10:30:00 AM,14:30:00 PM
4,597,08:30:00 AM,14:30:00 PM
5,808,09:15:00 AM,11:15:00 AM
6,166,14:30:00 PM,16:30:00 PM
7,334,07:30:00 AM,13:30:00 PM
8,526,09:15:00 AM,15:15:00 PM
9,510,09:30:00 AM,13:30:00 PM
10,296,13:45:00 PM,15:45:00 PM
11,884,12:30:00 PM,14:30:00 PM
12,203,13:45:00 PM,15:45:00 PM
13,321,10:00:00 AM,14:00:00 PM
14,584,06:15:00 AM,12:15:00 PM
15,406,09:15:00 AM,11:15:00 AM
16,841,09:45:00 AM,13:45:00 PM
17,63,06:45:00 AM,08:45:00 AM
18,235,10:30:00 AM,16:30:00 PM
19,200,08:30:00 AM,10:30:00 AM
20,715,09:30:00 AM,11:30:00 AM
21,392,11:45:00 AM,15:45:00 PM
22,601,07:15:00 AM,13:15:00 PM
23,271,07:45:00 AM,13:45:00 PM
24,691,06:30:00 AM,08:30:00 AM
25,543,08:15:00 AM,10:15:00 AM
26,542,10:00:00 AM,16:00:00 PM
27,5,09:30:00 AM,11:30:00 AM
28,298,11:45:00 AM,13:45:00 PM
29,493,06:45:00 AM,10:45:00 AM
30,260,07:00:00 AM,13:00:00 PM
31,668,08:15:00 AM,10:15:00 AM
32,739,08:15:00 AM,14:15:00 PM
33,425,09:30:00 AM,13:30:00 PM
34,390,08:45:00 AM,14:45:00 PM
35,781,08:00:00 AM,10:00:00 AM
36,29,06:15:00 AM,12:15:00 PM
37,183,08:15:00 AM,14:15:00 PM
38,33,11:45:00 AM,13:45:00 PM
39,439,11:30:00 AM,13:30:00 PM
40,362,07:15:00 AM,11:15:00 AM
41,428,06:45:00 AM,08:45:00 AM
42,775,12:45:00 PM,14:45:00 PM
43,431,12:30:00 PM,16:30:00 PM
44,24,06:30:00 AM,08:30:00 AM
45,540,10:45:00 AM,12:45:00 PM
46,650,07:30:00 AM,13:30:00 PM
47,388,07:30:00 AM,13:30:00 PM
48,822,14:30:00 PM,16:30:00 PM
49,150,09:15:00 AM,11:15:00 AM
50,943,10:15:00 AM,12:15:00 PM
51,879,14:30:00 PM,16:30:00 PM
52,453,07:00:00 AM,09:00:00 AM
53,120,07:15:00 AM,09:15:00 AM
54,747,09:30:00 AM,11:30:00 AM
55,382,07:45:00 AM,11:45:00 AM
56,589,10:00:00 AM,16:00:00 PM
57,59,08:00:00 AM,10:00:00 AM
58,279,07:15:00 AM,13:15:00 PM
59,905,06:30:00 AM,10:30:00 AM
60,516,07:30:00 AM,13:30:00 PM
