serviceId,locationId,start_time,end_time
0,584,06:45:00 AM,10:45:00 AM
1,279,15:15:00 PM,17:15:00 PM
2,617,14:30:00 PM,16:30:00 PM
3,676,07:45:00 AM,13:45:00 PM
4,161,09:45:00 AM,13:45:00 PM
5,10,08:30:00 AM,12:30:00 PM
6,303,10:30:00 AM,12:30:00 PM
7,683,09:15:00 AM,11:15:00 AM
8,274,09:30:00 AM,11:30:00 AM
9,454,13:15:00 PM,17:15:00 PM
10,424,08:45:00 AM,12:45:00 PM
11,511,09:45:00 AM,11:45:00 AM
12,420,08:45:00 AM,14:45:00 PM
13,672,10:00:00 AM,14:00:00 PM
14,756,07:45:00 AM,13:45:00 PM
15,289,07:15:00 AM,11:15:00 AM
16,678,08:15:00 AM,12:15:00 PM
17,350,08:45:00 AM,10:45:00 AM
18,146,12:45:00 PM,16:45:00 PM
19,119,10:15:00 AM,14:15:00 PM
20,480,10:15:00 AM,12:15:00 PM
21,510,12:15:00 PM,14:15:00 PM
22,578,08:45:00 AM,14:45:00 PM
23,554,11:15:00 AM,13:15:00 PM
24,408,10:15:00 AM,16:15:00 PM
25,205,10:30:00 AM,14:30:00 PM
26,358,07:15:00 AM,09:15:00 AM
27,732,13:15:00 PM,17:15:00 PM
28,398,07:15:00 AM,13:15:00 PM
29,651,11:15:00 AM,17:15:00 PM
30,70,08:45:00 AM,14:45:00 PM
31,548,11:15:00 AM,15:15:00 PM
32,346,12:15:00 PM,16:15:00 PM
33,403,12:15:00 PM,16:15:00 PM
34,157,10:30:00 AM,14:30:00 PM
35,764,10:45:00 AM,12:45:00 PM
36,557,11:15:00 AM,15:15:00 PM
37,727,10:30:00 AM,16:30:00 PM
38,571,09:15:00 AM,11:15:00 AM
39,602,11:15:00 AM,17:15:00 PM
40,52,12:45:00 PM,14:45:00 PM
41,327,10:00:00 AM,14:00:00 PM
42,612,12:15:00 PM,16:15:00 PM
43,128,12:15:00 PM,14:15:00 PM
44,532,07:15:00 AM,09:15:00 AM
45,769,07:45:00 AM,09:45:00 AM
46,715,07:45:00 AM,11:45:00 AM
47,84,14:00:00 PM,16:00:00 PM
48,634,08:30:00 AM,12:30:00 PM
49,703,12:00:00 PM,14:00:00 PM
50,389,09:00:00 AM,11:00:00 AM
51,217,08:30:00 AM,14:30:00 PM
52,700,10:15:00 AM,12:15:00 PM
53,112,13:00:00 PM,15:00:00 PM
54,529,10:30:00 AM,14:30:00 PM
55,690,13:00:00 PM,17:00:00 PM
56,271,14:45:00 PM,16:45:00 PM
57,768,13:00:00 PM,15:00:00 PM
58,705,07:00:00 AM,09:00:00 AM
59,519,09:45:00 AM,13:45:00 PM
60,347,10:30:00 AM,16:30:00 PM
61,185,08:00:00 AM,12:00:00 PM
62,662,12:00:00 PM,16:00:00 PM
63,567,07:00:00 AM,09:00:00 AM
64,371,12:00:00 PM,16:00:00 PM
65,646,08:30:00 AM,10:30:00 AM
66,659,12:15:00 PM,14:15:00 PM
67,494,10:00:00 AM,14:00:00 PM
68,351,08:30:00 AM,12:30:00 PM
69,36,07:45:00 AM,13:45:00 PM
70,277,09:30:00 AM,13:30:00 PM
71,162,13:45:00 PM,15:45:00 PM
72,395,07:15:00 AM,11:15:00 AM
73,343,12:00:00 PM,16:00:00 PM
74,200,13:00:00 PM,15:00:00 PM
75,328,08:00:00 AM,10:00:00 AM
76,141,11:45:00 AM,15:45:00 PM
77,562,08:00:00 AM,12:00:00 PM
78,753,07:30:00 AM,09:30:00 AM
79,311,12:00:00 PM,14:00:00 PM
80,692,14:15:00 PM,16:15:00 PM
81,326,14:45:00 PM,16:45:00 PM
82,504,13:45:00 PM,15:45:00 PM
83,306,10:00:00 AM,14:00:00 PM
84,471,07:15:00 AM,11:15:00 AM
85,108,07:30:00 AM,11:30:00 AM
86,149,08:45:00 AM,10:45:00 AM
87,381,07:15:00 AM,09:15:00 AM
88,94,11:00:00 AM,15:00:00 PM
89,323,06:45:00 AM,08:45:00 AM
90,115,11:30:00 AM,15:30:00 PM
91,56,10:30:00 AM,12:30:00 PM
92,521,10:00:00 AM,14:00:00 PM
93,349,13:00:00 PM,15:00:00 PM
94,225,12:45:00 PM,16:45:00 PM
95,18,12:45:00 PM,14:45:00 PM
96,437,07:00:00 AM,11:00:00 AM
97,407,10:00:00 AM,14:00:00 PM
98,210,12:15:00 PM,16:15:00 PM
99,490,09:45:00 AM,13:45:00 PM
100,1,06:45:00 AM,12:45:00 PM
101,580,09:45:00 AM,15:45:00 PM
102,13,13:15:00 PM,15:15:00 PM
103,384,06:45:00 AM,12:45:00 PM
104,167,14:45:00 PM,16:45:00 PM
105,503,09:30:00 AM,15:30:00 PM
106,172,14:00:00 PM,16:00:00 PM
107,525,09:45:00 AM,11:45:00 AM
108,24,07:00:00 AM,09:00:00 AM
109,609,07:45:00 AM,13:45:00 PM
110,387,07:15:00 AM,09:15:00 AM
111,362,14:15:00 PM,16:15:00 PM
112,376,13:30:00 PM,15:30:00 PM
113,442,09:00:00 AM,11:00:00 AM
114,383,07:45:00 AM,11:45:00 AM
115,272,11:30:00 AM,13:30:00 PM
116,688,10:45:00 AM,16:45:00 PM
117,170,10:00:00 AM,16:00:00 PM
118,89,12:15:00 PM,16:15:00 PM
119,324,09:15:00 AM,13:15:00 PM
120,79,07:00:00 AM,13:00:00 PM
121,78,10:00:00 AM,12:00:00 PM
122,486,14:15:00 PM,16:15:00 PM
123,388,11:45:00 AM,13:45:00 PM
124,253,11:00:00 AM,15:00:00 PM
125,742,12:30:00 PM,16:30:00 PM
126,600,14:15:00 PM,16:15:00 PM
127,63,08:00:00 AM,10:00:00 AM
128,57,09:30:00 AM,11:30:00 AM
129,62,07:00:00 AM,13:00:00 PM
130,66,08:15:00 AM,14:15:00 PM
131,773,11:30:00 AM,15:30:00 PM
132,216,10:45:00 AM,14:45:00 PM
133,31,07:15:00 AM,13:15:00 PM
134,411,08:30:00 AM,10:30:00 AM
135,761,10:45:00 AM,12:45:00 PM
136,218,10:15:00 AM,12:15:00 PM
137,618,11:00:00 AM,15:00:00 PM
138,484,08:15:00 AM,12:15:00 PM
139,422,11:45:00 AM,13:45:00 PM
140,450,11:15:00 AM,15:15:00 PM
141,765,14:00:00 PM,16:00:00 PM
142,231,13:00:00 PM,15:00:00 PM
143,55,09:00:00 AM,15:00:00 PM
144,427,07:45:00 AM,09:45:00 AM
145,27,11:45:00 AM,15:45:00 PM
146,530,10:30:00 AM,12:30:00 PM
147,582,10:15:00 AM,16:15:00 PM
148,246,07:00:00 AM,13:00:00 PM
149,714,15:00:00 PM,17:00:00 PM
150,460,10:00:00 AM,12:00:00 PM
151,23,13:00:00 PM,15:00:00 PM
152,6,12:15:00 PM,16:15:00 PM
153,464,12:00:00 PM,16:00:00 PM
154,440,08:15:00 AM,10:15:00 AM
155,209,07:15:00 AM,13:15:00 PM
156,96,13:00:00 PM,15:00:00 PM
157,509,11:45:00 AM,15:45:00 PM
158,305,12:00:00 PM,14:00:00 PM
159,118,10:15:00 AM,12:15:00 PM
160,71,09:15:00 AM,15:15:00 PM
161,595,13:45:00 PM,15:45:00 PM
162,496,11:15:00 AM,15:15:00 PM
163,393,07:45:00 AM,13:45:00 PM
164,132,09:15:00 AM,11:15:00 AM
165,643,14:45:00 PM,16:45:00 PM
166,359,09:45:00 AM,11:45:00 AM
167,630,09:00:00 AM,11:00:00 AM
168,310,09:15:00 AM,11:15:00 AM
169,110,12:00:00 PM,16:00:00 PM
170,266,10:00:00 AM,12:00:00 PM
171,757,12:00:00 PM,14:00:00 PM
172,215,10:00:00 AM,16:00:00 PM
173,341,08:30:00 AM,12:30:00 PM
174,527,13:15:00 PM,15:15:00 PM
175,239,10:30:00 AM,12:30:00 PM
176,712,08:30:00 AM,12:30:00 PM
177,451,13:30:00 PM,15:30:00 PM
178,342,12:15:00 PM,14:15:00 PM
179,590,12:30:00 PM,16:30:00 PM
180,35,12:30:00 PM,16:30:00 PM
181,621,07:30:00 AM,09:30:00 AM
182,228,11:45:00 AM,13:45:00 PM
183,673,15:15:00 PM,17:15:00 PM
184,431,10:45:00 AM,12:45:00 PM
185,95,14:00:00 PM,16:00:00 PM
186,708,10:00:00 AM,12:00:00 PM
187,421,07:45:00 AM,09:45:00 AM
188,763,14:30:00 PM,16:30:00 PM
189,710,13:45:00 PM,15:45:00 PM
190,593,10:30:00 AM,12:30:00 PM
191,199,14:15:00 PM,16:15:00 PM
192,12,08:30:00 AM,14:30:00 PM
193,737,08:15:00 AM,12:15:00 PM
194,463,10:15:00 AM,12:15:00 PM
195,54,12:45:00 PM,16:45:00 PM
196,220,09:00:00 AM,15:00:00 PM
197,720,14:15:00 PM,16:15:00 PM
198,553,12:45:00 PM,14:45:00 PM
199,497,11:00:00 AM,13:00:00 PM
