technicianId,serviceId,distribution_offset,distribution
0,0,54.350257166946776,"0 0 0"
1,0,61.39977022604637,"0 0 0"
2,0,55.20219481926519,"0 0 0"
3,0,51.15489572413725,"0 0 0"
4,0,56.155768242214734,"0 0 0"
5,0,54.5131388572691,"0 0 0"
6,0,59.266365818299775,"0 0 0"
7,0,68.30297013192452,"0 0 0"
8,0,27.252124745037932,"1 0.022708844884934045 1"
9,0,0,"3 0.04012434120771786 1"
10,0,44.56965479179445,"0 0 0"
11,0,82.83531141542224,"0 0 0"
0,1,71.83761854350635,"0 0 0"
1,1,78.51632365965318,"0 0 0"
2,1,67.11263710232399,"0 0 0"
3,1,74.2040654574525,"0 0 0"
4,1,13.745488916905053,"1 0.025169507655841965 1"
5,1,61.68518037193466,"0 0 0"
6,1,53.68117018867793,"0 0 0"
7,1,65.98788295387848,"0 0 0"
8,1,56.394809980912406,"0 0 0"
9,1,71.9747557330069,"0 0 0"
10,1,65.60431555462128,"0 0 0"
11,1,60.43614177348943,"0 0 0"
0,2,65.11980360562767,"0 0 0"
1,2,0,"3 0.049370049553848536 1"
2,2,59.4191792016833,"0 0 0"
3,2,0,"2 0.032441375606652556 1"
4,2,26.30008857920204,"1 0.030970519997416335 1"
5,2,52.46175612177459,"0 0 0"
6,2,41.91200566111328,"0 0 0"
7,2,59.441727590815745,"0 0 0"
8,2,55.99870739748358,"0 0 0"
9,2,45.885540042675494,"0 0 0"
10,2,63.63498487261943,"0 0 0"
11,2,59.94800666001438,"0 0 0"
0,3,51.0906688332154,"0 0 0"
1,3,63.804980328831775,"0 0 0"
2,3,62.778708115929426,"0 0 0"
3,3,64.73760082785114,"0 0 0"
4,3,48.10730917061519,"0 0 0"
5,3,57.93150295232717,"0 0 0"
6,3,55.61433113706585,"0 0 0"
7,3,55.93109400220002,"0 0 0"
8,3,51.5548074661149,"0 0 0"
9,3,50.02962166540163,"0 0 0"
10,3,0,"2 0.04060626619790905 1"
11,3,64.60430089476641,"0 0 0"
0,4,72.86691307868274,"0 0 0"
1,4,80.39186307552714,"0 0 0"
2,4,75.19195348977914,"0 0 0"
3,4,0,"3 0.036634945888999244 1"
4,4,0,"4 0.05535842116752806 1"
5,4,0,"2 0.03249888780092011 1"
6,4,74.21477968089143,"0 0 0"
7,4,35.24776749312995,"1 0.02614764002735368 1"
8,4,75.81992856471365,"0 0 0"
9,4,58.018829015599955,"0 0 0"
10,4,61.88391803866633,"0 0 0"
11,4,74.72101809776893,"0 0 0"
0,5,50.19812453062261,"0 0 0"
1,5,58.19891501328892,"0 0 0"
2,5,46.96793907293125,"0 0 0"
3,5,68.53532137056395,"0 0 0"
4,5,50.23800074194477,"0 0 0"
5,5,70.175306114456,"0 0 0"
6,5,60.937408722654645,"0 0 0"
7,5,65.4843619672131,"0 0 0"
8,5,57.07831486920552,"0 0 0"
9,5,0,"2 0.03448957850910118 1"
10,5,56.801825622031146,"0 0 0"
11,5,50.12598912326173,"0 0 0"
0,6,52.7955002438412,"0 0 0"
1,6,72.86166662086212,"0 0 0"
2,6,70.57556585947209,"0 0 0"
3,6,51.54455299292383,"0 0 0"
4,6,78.15218537018609,"0 0 0"
5,6,51.958143962387744,"0 0 0"
6,6,0,"9 0.2531958855457341 0.75 13 0.12406855956506564 0.25"
7,6,58.805787346222715,"0 0 0"
8,6,62.62021089278587,"0 0 0"
9,6,57.24152666327029,"0 0 0"
10,6,67.94600694414906,"0 0 0"
11,6,60.363815679351745,"0 0 0"
0,7,63.81965470568617,"0 0 0"
1,7,57.88081391450076,"0 0 0"
2,7,56.55077256963707,"0 0 0"
3,7,65.244456123385,"0 0 0"
4,7,73.26018723798454,"0 0 0"
5,7,56.09215444509201,"0 0 0"
6,7,0,"2 0.03497495719359827 1"
7,7,0,"2 0.04239143962351872 1"
8,7,61.23270772003929,"0 0 0"
9,7,0,"12 0.25446058916591235 0.75 14 0.10556601305120744 0.25"
10,7,62.640193721490625,"0 0 0"
11,7,57.67982578598187,"0 0 0"
0,8,50.74407829084444,"0 0 0"
1,8,0,"5 0.07078975824233498 1"
2,8,30.749475537687594,"1 0.030309021761766555 1"
3,8,0,"4 0.06313183950269131 1"
4,8,70.6928121723084,"0 0 0"
5,8,70.17548600289054,"0 0 0"
6,8,66.17340337509263,"0 0 0"
7,8,0,"6 0.07910298967413554 1"
8,8,49.82750722512224,"0 0 0"
9,8,0,"4 0.05525708507501989 1"
10,8,68.96633959856206,"0 0 0"
11,8,53.42497452609872,"0 0 0"
0,9,0,"4 0.06147221333712459 1"
1,9,58.87251598108072,"0 0 0"
2,9,66.60004900177003,"0 0 0"
3,9,54.53782090100724,"0 0 0"
4,9,50.223213139546175,"0 0 0"
5,9,0,"3 0.04048012502179807 1"
