technicianId,serviceId,distribution_offset,distribution
0,0,0,"2 0.03053048844616523 1"
1,0,0,"2 0.04237208781685175 1"
2,0,0,"2 0.03137068450607495 1"
3,0,0,"2 0.029208827586235057 1"
4,0,0,"2 0.036898845430636616 1"
5,0,0,"2 0.02896705019157809 1"
6,0,58.586587322681424,"0 0 0"
0,1,-5.148912894471607,"1 0.02196256056041526 1"
1,1,0,"2 0.03247218731935696 1"
2,1,0,"2 0.03076977371627436 1"
3,1,0,"8 0.17199683118286246 0.7499999999999999 12 0.0780034415102691 0.2500000000000001"
4,1,0,"2 0.09058386180361486 0.7500000000000001 8 0.057307930381270314 0.2499999999999999"
5,1,-7.560059454935121,"1 0.01678445565313101 1"
6,1,0,"2 0.03402107750663446 1"
0,2,0,"2 0.03137046080081218 1"
1,2,0,"2 0.029804386216540336 1"
2,2,0,"2 0.030282600380151847 1"
3,2,0,"2 0.04225036082810259 1"
4,2,0,"2 0.038686684906916624 1"
5,2,0,"2 0.03233487412985518 1"
6,2,0,"2 0.03075652541223872 1"
0,3,48.73399835267357,"0 0 0"
1,3,0,"2 0.041013569548387085 1"
2,3,0,"2 0.03838312217474573 1"
3,3,0,"2 0.0342272765728956 1"
4,3,0,"7 0.17879221716996116 0.75 12 0.09191473759600222 0.25"
5,3,0,"2 0.0321030285050624 1"
6,3,0,"6 0.15804500337388933 0.7499999999999999 11 0.08234314815428347 0.2500000000000001"
0,4,0,"6 0.16103816957723105 0.7500000000000001 11 0.0802784155538643 0.2499999999999999"
1,4,0,"2 0.041353376940005335 1"
2,4,0,"2 0.028046153752300445 1"
3,4,0,"2 0.03208500480840176 1"
4,4,0,"2 0.035592670114872216 1"
5,4,0,"2 0.031216147403012224 1"
6,4,0,"2 0.03224621620620534 1"
0,5,0,"2 0.09475443885833812 0.7499999999999999 8 0.05673603539643236 0.2500000000000001"
1,5,0,"2 0.03807743591952458 1"
2,5,0,"2 0.026473925584139375 1"
3,5,0,"4 0.117199790299846 0.75 10 0.06937026265703235 0.25"
4,5,0,"2 0.040728958818492506 1"
5,5,0,"2 0.03230597575433129 1"
6,5,9.4123045093259,"1 0.02160334850444173 1"
0,6,0,"2 0.03438634392901019 1"
1,6,0,"2 0.03138465937054331 1"
2,6,0,"8 0.18381264736909766 0.7499999999999999 12 0.08178834853185213 0.2500000000000001"
3,6,0,"2 0.040336479590735 1"
4,6,0,"2 0.0288965088695824 1"
5,6,0,"2 0.030823729215904077 1"
6,6,0,"2 0.028519827756117472 1"
0,7,0,"2 0.036487240780398805 1"
1,7,0,"2 0.042888821879180715 1"
2,7,0,"2 0.039640784898941836 1"
3,7,0,"2 0.03966797773337094 1"
4,7,0,"2 0.03706029494374477 1"
5,7,0,"2 0.0351182296094667 1"
6,7,0,"2 0.03498573456265303 1"
0,8,0,"2 0.037763062996361514 1"
1,8,0,"2 0.0404810962327089 1"
2,8,0,"2 0.029377244225004033 1"
3,8,0,"5 0.15580529352150882 0.7500000000000001 11 0.08939862289712397 0.2499999999999999"
4,8,0,"2 0.03787435112612408 1"
5,8,0,"2 0.04153340004767608 1"
6,8,0,"2 0.03218569305837639 1"
0,9,0,"2 0.03807226542374703 1"
1,9,0,"2 0.02832381349405585 1"
2,9,0,"2 0.03181726313631068 1"
3,9,0,"2 0.02748795383784636 1"
4,9,0,"2 0.029512549818914262 1"
5,9,0,"2 0.02786552586321652 1"
6,9,0,"2 0.03081032395324984 1"
0,10,0,"2 0.033960041456643913 1"
1,10,0,"2 0.04518640140142959 1"
2,10,0,"2 0.035434059681119796 1"
3,10,0,"3 0.11570088195957287 0.75 9 0.07347562142509281 0.25"
4,10,0,"2 0.039024275656968505 1"
5,10,0,"2 0.04080883456683036 1"
6,10,0,"2 0.03246512810102887 1"
0,11,0,"2 0.03632648523944594 1"
1,11,0,"9 0.21210195960373318 0.75 13 0.09691850397372885 0.25"
2,11,0,"2 0.024888768271106962 1"
3,11,0,"5 0.14248143669321164 0.7500000000000001 10 0.07013510162430245 0.2499999999999999"
4,11,16.694253247723992,"1 0.020172891842914015 1"
5,11,0,"2 0.027957123519866917 1"
6,11,0,"2 0.031773905946169675 1"
0,12,0,"2 0.029643192669112906 1"
1,12,0,"2 0.08780782460387443 0.75 9 0.07737733943195466 0.25"
2,12,0,"2 0.04150212693941639 1"
3,12,0,"3 0.0394181508619568 1"
4,12,0,"2 0.032387271070642557 1"
5,12,0,"2 0.027129731783355766 1"
6,12,0,"2 0.03954800125985475 1"
0,13,0,"2 0.03790798099569674 1"
1,13,0,"2 0.04604936441629116 1"
2,13,0,"2 0.03293408029229159 1"
3,13,0,"2 0.03857063545795382 1"
4,13,0,"7 0.170780443168069 0.75 12 0.08675042793168025 0.25"
5,13,0,"2 0.03016165851178777 1"
6,13,0,"2 0.032406454866874164 1"
0,14,0,"8 0.19732768846256593 0.7499999999999999 12 0.08921419106354106 0.2500000000000001"
1,14,0,"2 0.034478109685389544 1"
2,14,0,"2 0.03526252101562889 1"
3,14,0,"6 0.1651340847069933 0.7499999999999999 11 0.08105333225767523 0.2500000000000001"
4,14,0,"2 0.04340215342148799 1"
5,14,68.08526456940378,"0 0 0"
6,14,0,"2 0.03455610929456134 1"
0,15,0,"2 0.029508371154247627 1"
1,15,0,"2 0.03741564379121681 1"
2,15,0,"2 0.037412009102140695 1"
3,15,0,"2 0.03881100192339009 1"
4,15,0,"2 0.03225794542851816 1"
5,15,0,"2 0.02987239106079417 1"
6,15,0,"2 0.04176547151014639 1"
0,16,0,"2 0.02888205427277562 1"
1,16,0,"2 0.0357157662812577 1"
2,16,0,"2 0.037527344988985654 1"
3,16,0,"2 0.03519252346559086 1"
4,16,0,"2 0.028038673900173637 1"
5,16,0,"2 0.03375503900208312 1"
6,16,0,"2 0.03194497740779102 1"
0,17,0,"2 0.03678500839496706 1"
1,17,70.09191761586847,"0 0 0"
2,17,0,"2 0.03276137962645137 1"
3,17,0,"2 0.03194693408592181 1"
4,17,0,"2 0.029270378446865416 1"
5,17,0,"2 0.0368531440129169 1"
6,17,0,"2 0.04430790984705282 1"
0,18,0,"2 0.040115949380820345 1"
1,18,0,"2 0.02702431910983712 1"
2,18,0,"2 0.03363900376393134 1"
3,18,0,"2 0.03560536504946124 1"
4,18,0,"2 0.028648491248032808 1"
5,18,0,"2 0.03264547161183537 1"
6,18,0,"2 0.03416787104864493 1"
0,19,0,"2 0.030941139219430206 1"
1,19,0,"2 0.028766933355542427 1"
2,19,0,"2 0.03583694961003718 1"
3,19,0,"2 0.036566079355811285 1"
4,19,0,"2 0.03408301584412995 1"
5,19,0,"2 0.030387466795548886 1"
6,19,0,"2 0.026123610219802737 1"
