serviceId,locationId,start_time,end_time
0,278,12:30:00 PM,16:30:00 PM
1,358,10:15:00 AM,16:15:00 PM
2,135,14:30:00 PM,16:30:00 PM
3,634,08:15:00 AM,14:15:00 PM
4,107,09:45:00 AM,15:45:00 PM
5,58,08:45:00 AM,14:45:00 PM
6,483,15:00:00 PM,17:00:00 PM
7,160,08:00:00 AM,12:00:00 PM
8,161,08:15:00 AM,10:15:00 AM
9,459,09:15:00 AM,15:15:00 PM
10,448,07:00:00 AM,13:00:00 PM
11,709,10:15:00 AM,14:15:00 PM
12,379,13:15:00 PM,15:15:00 PM
13,138,07:15:00 AM,13:15:00 PM
14,579,10:00:00 AM,12:00:00 PM
15,382,12:30:00 PM,14:30:00 PM
16,487,07:30:00 AM,13:30:00 PM
17,701,09:00:00 AM,15:00:00 PM
18,183,10:00:00 AM,16:00:00 PM
19,543,08:15:00 AM,10:15:00 AM
