technicianId,serviceId,distribution_offset,distribution
0,0,0,"2 0.031852183017501194 1"
1,0,0,"22 0.3837235692661799 0.75 18 0.13891295013390145 0.25"
2,0,0,"17 0.3375836376701727 0.7499999999999999 17 0.14047278450146786 0.2500000000000001"
3,0,0,"4 0.06036689447607777 1"
4,0,0,"4 0.0674737742040697 1"
5,0,0,"3 0.05163543878642929 1"
6,0,0,"2 0.02899622653867059 1"
0,1,0,"2 0.04462457001028095 1"
1,1,0,"2 0.035200653802814695 1"
2,1,0,"3 0.052759810914973886 1"
3,1,0,"2 0.03210036002024519 1"
4,1,0,"3 0.04404944366095641 1"
5,1,0,"2 0.03204530767930842 1"
6,1,0,"4 0.06379148623516631 1"
0,2,0,"2 0.043205703504694735 1"
1,2,0,"3 0.05391639013170677 1"
2,2,0,"6 0.07235347328133485 1"
3,2,0,"3 0.04463021526381374 1"
4,2,28.33757253387916,"1 0.026158877850978715 1"
5,2,0,"2 0.032215410525909 1"
6,2,0,"2 0.03912540270522874 1"
0,3,0,"5 0.06905916061189865 1"
1,3,0,"5 0.07089252597441605 1"
2,3,0,"3 0.042207499572717515 1"
3,3,0,"4 0.04875053256250078 1"
4,3,0,"3 0.05217716465823486 1"
5,3,0,"3 0.044229949122706114 1"
6,3,0,"5 0.06945273641720602 1"
0,4,0,"2 0.03499515856113058 1"
1,4,0,"3 0.04478066851883188 1"
2,4,0,"2 0.03588585097107753 1"
3,4,0,"3 0.0416657719388263 1"
4,4,0,"2 0.031176294583691783 1"
5,4,0,"3 0.05434056196392258 1"
6,4,0,"9 0.2166238662285911 0.75 13 0.10220406257555548 0.25"
0,5,0,"3 0.050917547869501194 1"
1,5,9.700205482211103,"1 0.023197606031503205 1"
2,5,0,"11 0.3048680643734901 0.75 14 0.14493717984007445 0.25"
3,5,0,"2 0.03968392338413015 1"
4,5,0,"3 0.05721745971463229 1"
5,5,0,"2 0.034882456819527584 1"
6,5,0,"4 0.059162991140351576 1"
0,6,0,"3 0.05448493766869584 1"
1,6,0,"2 0.0375292943275524 1"
2,6,0,"3 0.051629875209826516 1"
3,6,16.918734140263165,"1 0.03223714125278263 1"
4,6,0,"2 0.036203891398581975 1"
5,6,0,"2 0.03519501265345711 1"
6,6,0,"8 0.19651440190099728 0.7499999999999999 12 0.09232646189820626 0.2500000000000001"
0,7,0,"2 0.03604536136791741 1"
1,7,0,"3 0.04942737863607909 1"
2,7,0,"2 0.03405770776898136 1"
3,7,0,"4 0.05757436015251709 1"
4,7,0,"3 0.047328414930219505 1"
5,7,0,"5 0.06755156651263658 1"
6,7,0,"2 0.03240958202289934 1"
0,8,0,"4 0.06686544933700793 1"
1,8,67.94665856056258,"0 0 0"
2,8,0,"4 0.06225252546460269 1"
3,8,0,"2 0.0321056990518343 1"
4,8,0,"3 0.04494192263305012 1"
5,8,0,"4 0.06292135933864722 1"
6,8,49.95697012626937,"0 0 0"
0,9,0,"3 0.0536701131578589 1"
1,9,0,"4 0.05647377204491689 1"
2,9,0,"3 0.04881590258436888 1"
3,9,0,"2 0.033151783503730346 1"
4,9,0,"3 0.04362609098064893 1"
5,9,0,"11 0.23326286761852624 0.75 14 0.10517249218478467 0.25"
6,9,0,"3 0.046804124791492915 1"
0,10,0,"17 0.2912487647122828 0.75 16 0.10908465489690748 0.25"
1,10,0,"3 0.055898805602867564 1"
2,10,0,"11 0.25355018102217947 0.75 14 0.1136198687474148 0.25"
3,10,0,"3 0.05738201080719642 1"
4,10,0,"3 0.05356459202899428 1"
5,10,0,"5 0.0687697206645869 1"
6,10,0,"3 0.048721901576140626 1"
0,11,0,"18 0.3490223749057009 0.75 17 0.1380451540086159 0.25"
1,11,0,"4 0.050355752145739174 1"
2,11,0,"3 0.04701589365542742 1"
3,11,0,"3 0.055759063178426764 1"
4,11,0,"6 0.08278388685494034 1"
5,11,0,"2 0.03461795080293083 1"
6,11,0,"4 0.058928450743260925 1"
0,12,0,"2 0.0370483227485375 1"
1,12,0,"3 0.05117422435899143 1"
2,12,0,"4 0.055096270595022055 1"
3,12,0,"3 0.05355234686782284 1"
4,12,0,"4 0.06350776491046436 1"
5,12,0,"3 0.04528095342044683 1"
6,12,0,"3 0.05379635652617837 1"
0,13,0,"3 0.05203641273170642 1"
1,13,0,"5 0.07590347939698901 1"
2,13,0,"3 0.03929699224654879 1"
3,13,0,"10 0.22562884945446673 0.7499999999999999 13 0.09854707684318179 0.2500000000000001"
4,13,0,"2 0.03205595679909551 1"
5,13,0,"3 0.053452570288405526 1"
6,13,0,"2 0.03421584173974223 1"
0,14,0,"11 0.2613174725540569 0.75 14 0.12102864547089563 0.25"
1,14,0,"3 0.04795118642572685 1"
2,14,0,"3 0.0486151473433468 1"
3,14,0,"3 0.048657650604715774 1"
4,14,0,"4 0.15473783794100696 0.7500000000000001 10 0.09031162964581774 0.2499999999999999"
5,14,0,"4 0.053833394627480505 1"
6,14,0,"7 0.23274641119478792 0.75 12 0.12745890390676734 0.25"
0,15,0,"2 0.03480834968697157 1"
1,15,0,"3 0.04543394697719439 1"
2,15,0,"2 0.031783917775215303 1"
3,15,0,"4 0.06301340828429672 1"
4,15,0,"4 0.06420950654964007 1"
5,15,0,"6 0.07808869464352201 1"
6,15,0,"2 0.03625192117442918 1"
0,16,0,"2 0.03233588747022274 1"
1,16,0,"3 0.046598461257941794 1"
2,16,0,"4 0.05454557266865637 1"
3,16,0,"5 0.06525760591358142 1"
4,16,0,"2 0.033848920547522754 1"
5,16,0,"4 0.0640762589932445 1"
6,16,0,"16 0.30359668113962746 0.75 16 0.12250340160188104 0.25"
0,17,0,"2 0.03714314027530978 1"
