serviceId,locationId,start_time,end_time
0,212,08:45:00 AM,14:45:00 PM
1,88,10:30:00 AM,12:30:00 PM
2,115,07:45:00 AM,11:45:00 AM
3,1,11:00:00 AM,13:00:00 PM
4,93,08:15:00 AM,10:15:00 AM
5,35,10:45:00 AM,12:45:00 PM
6,26,07:45:00 AM,09:45:00 AM
7,152,09:15:00 AM,11:15:00 AM
8,182,14:00:00 PM,16:00:00 PM
9,116,10:00:00 AM,16:00:00 PM
10,81,09:30:00 AM,13:30:00 PM
11,220,10:00:00 AM,12:00:00 PM
12,156,07:30:00 AM,13:30:00 PM
13,138,10:30:00 AM,12:30:00 PM
14,53,08:15:00 AM,14:15:00 PM
15,71,10:15:00 AM,12:15:00 PM
16,72,09:30:00 AM,11:30:00 AM
17,49,08:30:00 AM,12:30:00 PM
18,43,08:15:00 AM,10:15:00 AM
19,86,07:15:00 AM,09:15:00 AM
