technicianId,serviceId,distribution_offset,distribution
0,0,13.858811571992568,"1 0.024286005156067037 1"
1,0,0,"5 0.060045855861790384 1"
2,0,0,"3 0.05197846048202938 1"
3,0,0,"3 0.05276985484527565 1"
4,0,0,"9 0.2111970307628676 0.75 13 0.10155297480281077 0.25"
5,0,0,"3 0.04273708875782037 1"
6,0,0,"3 0.05692176397433185 1"
0,1,0,"13 0.27390970971469436 0.75 15 0.11828778351230869 0.25"
1,1,0,"2 0.03413418934041532 1"
2,1,0,"3 0.05193717854579158 1"
3,1,0,"4 0.05578620306456137 1"
4,1,0,"4 0.06227642415937531 1"
5,1,0,"2 0.03544996493193019 1"
6,1,0,"4 0.06065372563588449 1"
0,2,0,"5 0.06642636346049856 1"
1,2,0,"4 0.056949091217880124 1"
2,2,0,"3 0.04605274268502889 1"
3,2,0,"3 0.05178516421766062 1"
4,2,0,"5 0.07118051567095272 1"
5,2,0,"5 0.06783164220932378 1"
6,2,18.021675803125433,"1 0.024497405891468586 1"
0,3,0,"3 0.050227099301775394 1"
1,3,0,"3 0.0550320331985849 1"
2,3,0,"3 0.04716808564731612 1"
3,3,0,"3 0.04363147891495418 1"
4,3,0,"4 0.05907994062724354 1"
5,3,0,"19 0.38036670731733957 0.7500000000000001 18 0.1574249004456187 0.2499999999999999"
6,3,0,"2 0.03254060499189414 1"
0,4,0,"2 0.03225616208660765 1"
1,4,0,"3 0.04402288114164786 1"
2,4,0,"2 0.0403644065673421 1"
3,4,0,"2 0.03693112868168429 1"
4,4,0,"10 0.2380981108000915 0.7500000000000001 13 0.10545051836270596 0.2499999999999999"
5,4,0,"3 0.05137953267331489 1"
6,4,0,"16 0.3339839794518661 0.75 17 0.14672242424920406 0.25"
0,5,0,"2 0.0347651042282534 1"
1,5,0,"4 0.0665178353690001 1"
2,5,0,"3 0.04472493371744446 1"
3,5,0,"3 0.048184316733648924 1"
4,5,0,"12 0.30346291547299886 0.75 14 0.13197442348774144 0.25"
5,5,53.96777892480208,"0 0 0"
6,5,0,"7 0.18666429356160044 0.7499999999999999 12 0.09427804484461555 0.2500000000000001"
0,6,0,"4 0.058120467686509775 1"
1,6,0,"2 0.03883468864371672 1"
2,6,0,"15 0.34964697967000213 0.75 16 0.15436042678377593 0.25"
3,6,0,"3 0.049990157268677254 1"
4,6,0,"2 0.03581289505738876 1"
5,6,0,"3 0.047953360450109596 1"
6,6,0,"3 0.04512196237863766 1"
0,7,0,"2 0.033569908097599514 1"
1,7,0,"6 0.20507478183046696 0.75 11 0.10813524602201899 0.25"
2,7,0,"2 0.03711624262155121 1"
3,7,0,"3 0.04719222180452257 1"
4,7,0,"3 0.04635923080969519 1"
5,7,0,"2 0.03150532376513821 1"
6,7,0,"2 0.032134255871679965 1"
0,8,0,"2 0.04202781620150211 1"
1,8,0,"3 0.05218067277477688 1"
2,8,0,"2 0.03719342109845168 1"
3,8,0,"2 0.034368418194806086 1"
4,8,0,"3 0.05490240233579671 1"
5,8,0,"4 0.06068563705124012 1"
6,8,0,"2 0.03221790698774605 1"
0,9,0,"7 0.2432104495030353 0.75 12 0.13315656062282466 0.25"
1,9,0,"2 0.03401967665704855 1"
2,9,0,"6 0.08202300403091516 1"
3,9,0,"3 0.04291304211585944 1"
4,9,17.808335415678094,"1 0.027099057267603855 1"
5,9,0,"3 0.04306914299960955 1"
6,9,29.16976602725927,"1 0.02261647466231046 1"
0,10,0,"3 0.0444962123863833 1"
1,10,0,"2 0.03747119860309457 1"
2,10,0,"4 0.05572787322027771 1"
3,10,0,"2 0.035625515508505186 1"
4,10,0,"2 0.03342733349097615 1"
5,10,0,"2 0.03586503103603471 1"
6,10,0,"2 0.03041285390642529 1"
0,11,0,"2 0.03273411774236021 1"
1,11,0,"3 0.05412563921946422 1"
2,11,0,"2 0.033712185507514376 1"
3,11,0,"2 0.030657866165188775 1"
4,11,0,"7 0.18740023369453548 0.7499999999999999 12 0.09894407678657646 0.2500000000000001"
5,11,0,"2 0.0308560374230699 1"
6,11,0,"3 0.046427615624161984 1"
0,12,0,"3 0.04675380240558257 1"
1,12,0,"3 0.04982390303296238 1"
2,12,0,"3 0.05213081981778104 1"
3,12,0,"2 0.03910502080148834 1"
4,12,36.91171653100932,"1 0.03294902633159974 1"
5,12,0,"4 0.06785755695677015 1"
6,12,0,"2 0.03288259250835752 1"
0,13,0,"2 0.029582287840842814 1"
1,13,0,"3 0.05412227226065704 1"
2,13,0,"13 0.2989091846670046 0.75 15 0.13371584687085825 0.25"
3,13,0,"2 0.03330260185589219 1"
4,13,0,"4 0.0649987802865332 1"
5,13,0,"3 0.053227110498050866 1"
6,13,0,"2 0.03193236074707695 1"
0,14,0,"2 0.04126692586937609 1"
1,14,0,"5 0.16224656073024182 0.7500000000000001 11 0.09572092775959323 0.2499999999999999"
2,14,0,"4 0.06740863294982724 1"
3,14,17.57243187346659,"1 0.029176199131372746 1"
4,14,0,"9 0.22727887321073373 0.7500000000000001 13 0.10901531436280205 0.2499999999999999"
5,14,0,"2 0.03776463964157659 1"
6,14,0,"3 0.0485122247958482 1"
0,15,0,"3 0.046429484594410264 1"
1,15,0,"3 0.057605297954537685 1"
2,15,0,"3 0.0446495466335945 1"
3,15,0,"3 0.05394580445991329 1"
4,15,0,"3 0.04431207721601246 1"
5,15,28.544419288949783,"1 0.02672251191436368 1"
6,15,0,"2 0.03535112396605664 1"
0,16,0,"3 0.05303999364521957 1"
1,16,0,"3 0.0530690472229026 1"
2,16,0,"2 0.03733038926122496 1"
3,16,0,"3 0.04769082490304619 1"
4,16,0,"3 0.05646563110413269 1"
5,16,0,"8 0.23008400794184972 0.75 13 0.12094316402835097 0.25"
6,16,0,"2 0.03909425008601079 1"
0,17,0,"13 0.2785380701091399 0.7500000000000001 15 0.12151700491250325 0.2499999999999999"
1,17,0,"2 0.03460822840421465 1"
2,17,0,"2 0.03908284965842913 1"
