technicianId,serviceId,distribution_offset,distribution
0,0,0,"3 0.052543132849209064 1"
1,0,0,"3 0.050747874185832514 1"
2,0,0,"3 0.04233857479040891 1"
3,0,0,"5 0.07382461904808187 1"
4,0,0,"3 0.050020652324227304 1"
5,0,0,"2 0.03038307380772322 1"
6,0,0,"3 0.053018379239971596 1"
0,1,0,"5 0.1656442899091146 0.7500000000000001 11 0.1001947577627278 0.2499999999999999"
1,1,0,"4 0.06548670430719392 1"
2,1,0,"4 0.06603954000101098 1"
3,1,0,"3 0.04249962860977027 1"
4,1,0,"5 0.07039894227809965 1"
5,1,0,"4 0.058815431930899775 1"
6,1,0,"3 0.05824749706608164 1"
0,2,0,"3 0.05265884633221645 1"
1,2,0,"2 0.041762747530847286 1"
2,2,0,"3 0.04776890100327008 1"
3,2,0,"2 0.03650560035632148 1"
4,2,0,"4 0.059190294712851726 1"
5,2,0,"3 0.05025782982641803 1"
6,2,0,"3 0.04250898560104686 1"
0,3,0,"21 0.38192664136714466 0.75 18 0.14415910535202445 0.25"
1,3,0,"6 0.17334290818973266 0.75 11 0.09074614705180577 0.25"
2,3,0,"3 0.039326861062991304 1"
3,3,0,"4 0.06589933105121365 1"
4,3,0,"5 0.07478040386687566 1"
5,3,0,"2 0.029596233826519783 1"
6,3,0,"4 0.06179778258368258 1"
0,4,0,"6 0.1667742909177948 0.75 11 0.0873490704697302 0.25"
1,4,0,"2 0.03527217852804316 1"
2,4,0,"10 0.28769380472357087 0.75 14 0.14401053749759543 0.25"
3,4,0,"2 0.03790769750207761 1"
4,4,0,"2 0.03613656475207566 1"
5,4,0,"2 0.04479495591705423 1"
6,4,0,"2 0.03291047804930588 1"
0,5,0,"4 0.06514814689335421 1"
1,5,0,"3 0.04582800119301583 1"
2,5,0,"2 0.030797802023511803 1"
3,5,0,"2 0.0401206136200887 1"
4,5,0,"4 0.0610977068738784 1"
5,5,0,"2 0.0378261146703286 1"
6,5,0,"2 0.03314207016125751 1"
0,6,0,"5 0.06692839677879459 1"
1,6,0,"2 0.030214238613894134 1"
2,6,0,"3 0.047764391285021336 1"
3,6,0,"3 0.04879021078167993 1"
4,6,0,"3 0.05528417565044055 1"
5,6,0,"2 0.03276150940800075 1"
6,6,0,"4 0.05739970633457913 1"
0,7,0,"3 0.043915463505916505 1"
1,7,0,"4 0.060044343119084666 1"
2,7,0,"2 0.04186865180599243 1"
3,7,0,"3 0.05173414178311263 1"
4,7,19.438104000638717,"1 0.022435956375994832 1"
5,7,0,"12 0.2781631577012798 0.75 14 0.11829221983689939 0.25"
6,7,0,"2 0.033864615372121924 1"
0,8,0,"3 0.05353195771698222 1"
1,8,0,"7 0.1943893833746138 0.7500000000000001 12 0.10197135780656114 0.2499999999999999"
2,8,0,"3 0.05363574399184435 1"
3,8,0,"2 0.03524476208194043 1"
4,8,0,"3 0.05125485651726804 1"
5,8,0,"6 0.07934914822402218 1"
6,8,0,"6 0.07258148464916343 1"
0,9,0,"3 0.056601096386347034 1"
1,9,0,"3 0.044216800931033126 1"
2,9,0,"27 0.4532896485623249 0.75 21 0.16840491056749748 0.25"
3,9,0,"3 0.055147438039624415 1"
4,9,0,"6 0.0810389146176074 1"
5,9,0,"3 0.04255364847629119 1"
6,9,0,"17 0.3331040551868516 0.7500000000000001 17 0.13787153002435543 0.2499999999999999"
0,10,0,"2 0.03416554765362318 1"
1,10,0,"4 0.059913678424929534 1"
2,10,0,"4 0.06691294968733719 1"
3,10,0,"2 0.03685098798680216 1"
4,10,0,"2 0.03233725763727772 1"
5,10,0,"5 0.06865388861207673 1"
6,10,0,"3 0.04910480273559497 1"
0,11,0,"3 0.056693662802162904 1"
1,11,0,"2 0.04002070700528729 1"
2,11,0,"2 0.04588084490043722 1"
3,11,9.27634190058125,"1 0.02456198003293127 1"
4,11,0,"2 0.036414560908173375 1"
5,11,0,"2 0.04787233104121481 1"
6,11,0,"2 0.037154811704994066 1"
0,12,0,"3 0.04907728600570678 1"
1,12,0,"4 0.052377241623435156 1"
2,12,0,"3 0.04883562649923868 1"
3,12,0,"4 0.059404690100724335 1"
4,12,0,"2 0.04636034972204843 1"
5,12,0,"4 0.0595361294549328 1"
6,12,0,"13 0.26345133283197886 0.75 15 0.11360389511576931 0.25"
0,13,0,"3 0.04380079663979775 1"
1,13,0,"3 0.04957247367923467 1"
2,13,0,"2 0.03649278693296933 1"
3,13,0,"2 0.04411925948221633 1"
4,13,0,"3 0.04256299473274925 1"
5,13,0,"4 0.05559745514007306 1"
6,13,0,"2 0.04627037511465675 1"
0,14,0,"2 0.03517054948916412 1"
1,14,0,"2 0.03871527323252676 1"
2,14,0,"4 0.05517327620479568 1"
3,14,0,"4 0.06246121627050006 1"
4,14,24.95003283902112,"1 0.02895902053867989 1"
5,14,0,"2 0.03804606942958109 1"
6,14,0,"5 0.06016219737309568 1"
0,15,0,"3 0.04550500063390915 1"
1,15,0,"5 0.07504147425898816 1"
2,15,0,"2 0.03162662032873667 1"
3,15,40.51761740725534,"1 0.03268310911728611 1"
4,15,0,"4 0.06340364927717708 1"
5,15,0,"3 0.04916781828408428 1"
6,15,0,"2 0.03610127616637942 1"
0,16,0,"3 0.05141762976446498 1"
1,16,0,"2 0.030776460456073965 1"
2,16,0,"2 0.041552243992604765 1"
3,16,0,"3 0.05583465845420205 1"
4,16,0,"3 0.04648277728145088 1"
5,16,0,"3 0.05597521110760955 1"
6,16,0,"5 0.06590224647420784 1"
