technicianId,serviceId,distribution_offset,distribution
0,0,0,"4 0.06234935716262319 1"
1,0,0,"2 0.032648973031967156 1"
2,0,0,"4 0.05952544682308657 1"
3,0,0,"3 0.05426136792857004 1"
4,0,11.443791419137014,"1 0.02790389192806841 1"
5,0,0,"21 0.38811522982029156 0.75 18 0.14727807330264242 0.25"
6,0,0,"5 0.06649306859650186 1"
0,1,0,"2 0.03380163331151096 1"
1,1,0,"3 0.05288983076635853 1"
2,1,0,"2 0.035917532327950245 1"
3,1,0,"2 0.03901274165972283 1"
4,1,0,"2 0.036986025289817405 1"
5,1,0,"2 0.03290804607378063 1"
6,1,0,"16 0.2814203584971763 0.75 16 0.11018451783704483 0.25"
0,2,0,"10 0.26537339851116853 0.75 13 0.12043394942292357 0.25"
1,2,0,"2 0.037811402787158284 1"
2,2,0,"4 0.05449832153074439 1"
3,2,0,"3 0.05265469650001053 1"
4,2,0,"4 0.06292637905203943 1"
5,2,0,"5 0.07674006967957606 1"
6,2,0,"2 0.03431344834606237 1"
0,3,0,"4 0.061600540169446764 1"
1,3,0,"3 0.048593322792240067 1"
2,3,0,"3 0.04707031170663963 1"
3,3,0,"2 0.03837871749657384 1"
4,3,0,"5 0.07068850012165935 1"
5,3,0,"4 0.05729124408410169 1"
6,3,0,"2 0.035242511923126746 1"
0,4,0,"2 0.03383099546217147 1"
1,4,0,"3 0.044264313750004565 1"
2,4,0,"3 0.046533575941916004 1"
3,4,0,"3 0.052134364085871826 1"
4,4,0,"2 0.03415789871555079 1"
5,4,0,"2 0.03098464784904263 1"
6,4,0,"4 0.0588580589459177 1"
0,5,0,"4 0.057172520111269894 1"
1,5,0,"3 0.04727613304013162 1"
2,5,0,"3 0.04999040988301354 1"
3,5,0,"2 0.03487302253288315 1"
4,5,0,"4 0.05599203342362084 1"
5,5,0,"9 0.26962937467808173 0.75 13 0.13215379151039144 0.25"
6,5,0,"18 0.3940733173092745 0.7500000000000001 17 0.16044654291188368 0.2499999999999999"
0,6,0,"5 0.07058582303392058 1"
1,6,0,"2 0.0355649321772918 1"
2,6,0,"3 0.048379452698743365 1"
3,6,0,"5 0.16577413042536512 0.75 11 0.10254948904097531 0.25"
4,6,0,"5 0.07334807976764786 1"
5,6,0,"7 0.2034281731639551 0.7500000000000001 12 0.10369507521523742 0.2499999999999999"
6,6,0,"4 0.06337675904291055 1"
0,7,0,"2 0.03982670586994055 1"
1,7,0,"3 0.04767740650690354 1"
2,7,0,"2 0.03377177911865301 1"
3,7,63.64311761403417,"0 0 0"
4,7,0,"3 0.04569593159792363 1"
5,7,0,"2 0.033695538611437245 1"
6,7,0,"3 0.05527580228912733 1"
0,8,0,"2 0.035385314834765265 1"
1,8,35.10260948326923,"1 0.025530363871937748 1"
2,8,0,"3 0.05362646463265924 1"
3,8,0,"2 0.04140702833497461 1"
4,8,0,"3 0.048321161426192256 1"
5,8,0,"2 0.03104295023106072 1"
6,8,0,"5 0.07536435687655177 1"
0,9,0,"3 0.04391041870010034 1"
1,9,0,"12 0.26995713480961364 0.7499999999999999 14 0.11626005948138868 0.2500000000000001"
2,9,0,"22 0.4193278784365434 0.75 19 0.16402748991929908 0.25"
3,9,0,"2 0.041936443216073524 1"
4,9,0,"5 0.07043289595356146 1"
5,9,0,"2 0.0330407861647051 1"
6,9,0,"2 0.03946098270572167 1"
0,10,0,"2 0.03479072714391024 1"
1,10,0,"2 0.03367698294519337 1"
2,10,0,"3 0.04881497905764345 1"
3,10,0,"3 0.044005689918710005 1"
4,10,0,"3 0.04651448678048572 1"
5,10,0,"3 0.04458810905049579 1"
6,10,0,"3 0.0443663063947958 1"
0,11,0,"3 0.046192479865588415 1"
1,11,0,"2 0.039956226508223544 1"
2,11,0,"3 0.05335685581255391 1"
3,11,0,"2 0.035280075605605574 1"
4,11,0,"15 0.3416786304723952 0.75 16 0.14883792744999078 0.25"
5,11,0,"4 0.06505199838657949 1"
6,11,0,"2 0.03864654508872515 1"
0,12,0,"2 0.03666342178057043 1"
1,12,0,"2 0.038365819939137576 1"
2,12,0,"2 0.03571007548130035 1"
3,12,0,"2 0.04259589302062788 1"
4,12,0,"4 0.052333113427288115 1"
5,12,0,"2 0.052757836317036046 1"
6,12,0,"2 0.03825773236112305 1"
0,13,0,"10 0.26042739923732344 0.75 14 0.12826388993172466 0.25"
1,13,0,"2 0.030052561284467892 1"
2,13,0,"4 0.055795949768869584 1"
3,13,0,"3 0.04760621245035265 1"
4,13,0,"4 0.05970250118027002 1"
5,13,0,"5 0.06358676735432033 1"
6,13,0,"3 0.044866976040645073 1"
0,14,0,"2 0.033364385516672423 1"
1,14,0,"3 0.042606177024798096 1"
2,14,0,"3 0.045698096557805046 1"
3,14,0,"4 0.05584559899512447 1"
4,14,0,"2 0.036542912292914155 1"
5,14,0,"4 0.05682026305604454 1"
6,14,0,"2 0.03139252748272008 1"
0,15,0,"3 0.05603358682381 1"
1,15,0,"2 0.0368331623384801 1"
2,15,0,"2 0.03754839965898851 1"
3,15,52.58560835256509,"0 0 0"
4,15,0,"4 0.062304259555161653 1"
5,15,0,"2 0.05525326100267451 1"
6,15,0,"2 0.04379538147714421 1"
0,16,0,"2 0.031513764451089325 1"
1,16,0,"3 0.04321557848649752 1"
2,16,0,"2 0.040103853931741304 1"
3,16,0,"2 0.037908181710942054 1"
4,16,0,"2 0.03363979149605764 1"
5,16,0,"3 0.044916840981925575 1"
6,16,0,"4 0.05844350302135057 1"
0,17,0,"3 0.05001730828214804 1"
1,17,0,"2 0.03829865233448799 1"
2,17,0,"2 0.040316557393784126 1"
3,17,0,"2 0.03444477829215081 1"
4,17,0,"2 0.03284807582662141 1"
5,17,0,"2 0.039678356958598233 1"
6,17,0,"3 0.052716531630531284 1"
0,18,0,"3 0.04810465674138804 1"
1,18,0,"2 0.03471937972538969 1"
2,18,0,"2 0.036976455665636634 1"
3,18,28.537454671629778,"1 0.03182303517167497 1"
4,18,0,"2 0.03610535232178631 1"
5,18,0,"2 0.03660049760968576 1"
6,18,0,"3 0.051270787440120244 1"
0,19,0,"2 0.04848409128700409 1"
1,19,0,"3 0.049379841886185064 1"
2,19,0,"2 0.036109337271803085 1"
3,19,0,"3 0.04826082855520381 1"
4,19,0,"18 0.3851867382948062 0.7500000000000001 17 0.15635727790541656 0.2499999999999999"
5,19,0,"3 0.04963235602032647 1"
6,19,0,"7 0.19323053139490037 0.75 12 0.09935066333466538 0.25"
