serviceId,locationId,start_time,end_time
0,693,10:00:00 AM,16:00:00 PM
1,884,10:30:00 AM,16:30:00 PM
2,697,09:45:00 AM,15:45:00 PM
3,336,10:45:00 AM,16:45:00 PM
4,575,10:45:00 AM,14:45:00 PM
5,829,10:00:00 AM,16:00:00 PM
6,809,12:00:00 PM,16:00:00 PM
7,364,09:30:00 AM,13:30:00 PM
8,803,12:45:00 PM,16:45:00 PM
9,607,09:15:00 AM,15:15:00 PM
10,454,11:30:00 AM,15:30:00 PM
11,130,12:15:00 PM,14:15:00 PM
12,105,10:15:00 AM,16:15:00 PM
13,828,10:30:00 AM,12:30:00 PM
14,56,12:15:00 PM,14:15:00 PM
15,747,08:30:00 AM,12:30:00 PM
16,641,12:00:00 PM,16:00:00 PM
17,428,09:15:00 AM,15:15:00 PM
18,547,08:30:00 AM,12:30:00 PM
19,219,10:45:00 AM,16:45:00 PM
20,527,10:45:00 AM,14:45:00 PM
21,793,08:45:00 AM,14:45:00 PM
22,70,09:15:00 AM,11:15:00 AM
23,505,13:00:00 PM,15:00:00 PM
24,325,09:15:00 AM,15:15:00 PM
25,550,07:30:00 AM,09:30:00 AM
26,22,09:30:00 AM,15:30:00 PM
27,313,11:00:00 AM,13:00:00 PM
28,955,13:45:00 PM,15:45:00 PM
29,86,09:15:00 AM,13:15:00 PM
30,514,10:30:00 AM,14:30:00 PM
31,74,11:45:00 AM,13:45:00 PM
32,468,10:45:00 AM,16:45:00 PM
33,666,11:45:00 AM,15:45:00 PM
34,258,08:30:00 AM,14:30:00 PM
35,676,10:00:00 AM,16:00:00 PM
36,289,10:45:00 AM,16:45:00 PM
37,244,09:00:00 AM,15:00:00 PM
38,273,08:30:00 AM,12:30:00 PM
39,473,10:30:00 AM,16:30:00 PM
40,938,10:00:00 AM,12:00:00 PM
41,42,10:45:00 AM,12:45:00 PM
42,183,12:45:00 PM,16:45:00 PM
43,382,11:45:00 AM,15:45:00 PM
44,266,12:45:00 PM,14:45:00 PM
45,813,10:45:00 AM,14:45:00 PM
46,160,08:30:00 AM,14:30:00 PM
47,36,07:45:00 AM,13:45:00 PM
48,824,14:00:00 PM,16:00:00 PM
49,706,09:45:00 AM,15:45:00 PM
