technicianId,serviceId,distribution_offset,distribution
0,0,2.8522466834754354,"1 0.01862004293127519 1"
1,0,71.12675735872755,"0 0 0"
2,0,69.24517714661678,"0 0 0"
0,1,55.88522553035937,"0 0 0"
1,1,63.70745246173073,"0 0 0"
2,1,51.39355501181022,"0 0 0"
0,2,57.108495685126066,"0 0 0"
1,2,18.69414719183161,"1 0.017559710792017878 1"
2,2,68.8064952348174,"0 0 0"
0,3,45.39713091324717,"0 0 0"
1,3,0,"2 0.03152067158706054 1"
2,3,49.641458559666695,"0 0 0"
0,4,61.57982744826081,"0 0 0"
1,4,68.78700860782156,"0 0 0"
2,4,26.539945392532175,"1 0.021691315471759193 1"
0,5,59.45174674409439,"0 0 0"
1,5,55.36350960471217,"0 0 0"
2,5,62.658198834861714,"0 0 0"
0,6,61.42553785721732,"0 0 0"
1,6,68.10129878988754,"0 0 0"
2,6,22.87618602021586,"1 0.018877403718438802 1"
0,7,53.87949856798658,"0 0 0"
1,7,61.71553532693312,"0 0 0"
2,7,69.83184713880233,"0 0 0"
0,8,58.37124395872468,"0 0 0"
1,8,71.9345747878613,"0 0 0"
2,8,69.47834868169393,"0 0 0"
0,9,62.860524415004114,"0 0 0"
1,9,0,"2 0.03215076784899518 1"
2,9,66.2093820832313,"0 0 0"
0,10,62.52435296510548,"0 0 0"
1,10,60.70565813644509,"0 0 0"
2,10,49.04317491412474,"0 0 0"
0,11,-0.6699984102230587,"1 0.018092110208919158 1"
1,11,54.811475704099124,"0 0 0"
2,11,0,"2 0.028219176018037407 1"
0,12,55.729651087091526,"0 0 0"
1,12,65.64074136244429,"0 0 0"
2,12,57.22277263139706,"0 0 0"
0,13,22.577596465561193,"1 0.022191721373080897 1"
1,13,62.599243498031434,"0 0 0"
2,13,52.77662177744747,"0 0 0"
0,14,77.11714542046985,"0 0 0"
1,14,71.41711831824088,"0 0 0"
2,14,65.358096580777,"0 0 0"
0,15,-13.773000560196031,"1 0.017692200024370563 1"
1,15,64.52794011997386,"0 0 0"
2,15,67.26232641637819,"0 0 0"
0,16,67.85062157763063,"0 0 0"
1,16,71.41451593938939,"0 0 0"
2,16,52.81130502853724,"0 0 0"
0,17,54.73498702368936,"0 0 0"
1,17,19.75601109075248,"1 0.019078320216021048 1"
2,17,66.90309182695636,"0 0 0"
0,18,0,"2 0.035276467037310945 1"
1,18,74.6972529398999,"0 0 0"
2,18,58.697569040381495,"0 0 0"
0,19,62.17498116135913,"0 0 0"
1,19,5.352984774473228,"1 0.018356221551826493 1"
2,19,60.96713765844649,"0 0 0"
0,20,52.076099518805464,"0 0 0"
1,20,68.71115464167879,"0 0 0"
2,20,0,"2 0.034722241282214086 1"
0,21,52.014257151258555,"0 0 0"
1,21,15.401788381394198,"1 0.021178828854089525 1"
2,21,-4.190617172078753,"1 0.018268437697991104 1"
0,22,56.90711847676847,"0 0 0"
1,22,60.016684288999016,"0 0 0"
2,22,53.94683248431555,"0 0 0"
