technicianId,serviceId,distribution_offset,distribution
0,0,73.83411415132011,"0 0 0"
1,0,0,"2 0.02858616928564595 1"
2,0,76.30462592608075,"0 0 0"
0,1,64.31997223758924,"0 0 0"
1,1,60.025237305938234,"0 0 0"
2,1,55.341829729196625,"0 0 0"
0,2,57.47633246276015,"0 0 0"
1,2,47.721085676157045,"0 0 0"
2,2,0,"2 0.04160494119255049 1"
0,3,62.63197304624302,"0 0 0"
1,3,60.34905658412624,"0 0 0"
2,3,0,"2 0.04511721010702066 1"
0,4,63.5471523495067,"0 0 0"
1,4,59.010908839881566,"0 0 0"
2,4,60.99421504684434,"0 0 0"
0,5,59.62727161194875,"0 0 0"
1,5,59.05934640517049,"0 0 0"
2,5,4.114656191251299,"1 0.01763298393550883 1"
0,6,70.48334447307957,"0 0 0"
1,6,0,"5 0.14195055857184544 0.7500000000000001 11 0.08190552262575206 0.2499999999999999"
2,6,0,"2 0.03571830775348554 1"
0,7,67.67619829968517,"0 0 0"
1,7,64.41501998134419,"0 0 0"
2,7,0,"2 0.04434794547031623 1"
0,8,63.389471471541874,"0 0 0"
1,8,6.436745183989814,"1 0.018733954784324467 1"
2,8,59.11403978032473,"0 0 0"
0,9,0,"2 0.04047198924329484 1"
1,9,70.45511551026989,"0 0 0"
2,9,48.77834661908929,"0 0 0"
0,10,-1.552384154785777,"1 0.018727969217390963 1"
1,10,57.49542545637635,"0 0 0"
2,10,72.04619570991788,"0 0 0"
0,11,60.25560486122323,"0 0 0"
1,11,57.84766995535997,"0 0 0"
2,11,53.68575674241519,"0 0 0"
0,12,0,"2 0.034724068543826016 1"
1,12,65.16812087682048,"0 0 0"
2,12,0,"2 0.037843720254632944 1"
0,13,63.472879619516995,"0 0 0"
1,13,54.338483984600806,"0 0 0"
2,13,0,"2 0.02665692605304943 1"
0,14,41.60387962687216,"0 0 0"
1,14,63.60003189367175,"0 0 0"
2,14,53.728344094000434,"0 0 0"
0,15,4.3975047258326825,"1 0.02126367742835206 1"
1,15,55.009915362289256,"0 0 0"
2,15,0,"2 0.03144799227832625 1"
0,16,78.83071426943891,"0 0 0"
1,16,61.36644994629586,"0 0 0"
2,16,62.92096576896698,"0 0 0"
0,17,56.114611538621084,"0 0 0"
1,17,76.26323330302128,"0 0 0"
2,17,0,"2 0.03390169906345706 1"
0,18,0,"2 0.03576191895212534 1"
1,18,10.491949642136326,"1 0.020571377482770405 1"
2,18,64.33242577967216,"0 0 0"
0,19,52.49853452919147,"0 0 0"
1,19,60.311495561034604,"0 0 0"
2,19,6.998706822360525,"1 0.01892593030933301 1"
0,20,76.10314654005994,"0 0 0"
1,20,63.38674412065179,"0 0 0"
2,20,0,"2 0.04222934808452563 1"
0,21,0,"2 0.03619559196654845 1"
1,21,21.854825939144376,"1 0.020436459786814413 1"
2,21,60.94687577124395,"0 0 0"
0,22,0,"2 0.031434923386387585 1"
1,22,57.19644005432396,"0 0 0"
2,22,58.31726891545001,"0 0 0"
0,23,57.52430848576449,"0 0 0"
1,23,57.48328772688655,"0 0 0"
2,23,0,"2 0.029984119695326616 1"
0,24,5.762882854712082,"1 0.01790639531534038 1"
1,24,52.796061414979036,"0 0 0"
2,24,73.35248439619765,"0 0 0"
0,25,48.88271364791486,"0 0 0"
1,25,59.73421817771447,"0 0 0"
2,25,6.320471800481741,"1 0.017029047625741766 1"
0,26,0,"2 0.034942354633677904 1"
1,26,-7.022604451504527,"1 0.01776423371661885 1"
2,26,0,"2 0.03312708056436807 1"
0,27,58.36182062560621,"0 0 0"
1,27,-0.6567402646860359,"1 0.018904309238050844 1"
2,27,58.15563009938819,"0 0 0"
0,28,0,"2 0.027690351163769864 1"
1,28,-4.501626373487085,"1 0.0177287808719109 1"
2,28,57.43189676378791,"0 0 0"
0,29,58.81097375970187,"0 0 0"
1,29,71.71089421010869,"0 0 0"
2,29,0,"2 0.02958805268125798 1"
0,30,74.4106521715757,"0 0 0"
1,30,55.7910343230874,"0 0 0"
2,30,61.90213600003792,"0 0 0"
0,31,58.58776216784521,"0 0 0"
1,31,66.42912150949188,"0 0 0"
2,31,0,"2 0.03247780544079928 1"
0,32,68.64831906932741,"0 0 0"
1,32,49.97998344479363,"0 0 0"
2,32,63.683636268094936,"0 0 0"
0,33,0,"2 0.03438446333504866 1"
1,33,11.495214906247874,"1 0.01995637504452157 1"
2,33,0,"2 0.041118613148882134 1"
0,34,71.954474204942,"0 0 0"
1,34,54.31850939509581,"0 0 0"
2,34,67.26814737132597,"0 0 0"
0,35,62.804484988275775,"0 0 0"
1,35,62.35885448696317,"0 0 0"
2,35,63.52677025107644,"0 0 0"
0,36,68.24983035050222,"0 0 0"
1,36,19.20631267878848,"1 0.0180157259431407 1"
2,36,51.036627116839455,"0 0 0"
0,37,76.75355389484821,"0 0 0"
1,37,1.5254987607882597,"1 0.017331647620824044 1"
2,37,76.67093177029099,"0 0 0"
0,38,73.28630818105823,"0 0 0"
1,38,5.284411921358377,"1 0.019852317359519117 1"
2,38,0,"2 0.0528115071835901 1"
0,39,53.772665189502824,"0 0 0"
1,39,65.24675310852157,"0 0 0"
2,39,74.2976927637565,"0 0 0"
0,40,65.29999311071587,"0 0 0"
1,40,65.34820072448004,"0 0 0"
2,40,59.30954128651382,"0 0 0"
0,41,26.605697585304135,"1 0.019344332654841763 1"
1,41,63.888191462494795,"0 0 0"
2,41,74.53957649568477,"0 0 0"
0,42,50.656738509457,"0 0 0"
1,42,64.83570894281975,"0 0 0"
2,42,-5.600022649477367,"1 0.017191478037782072 1"
0,43,0,"2 0.03965836553622398 1"
1,43,57.244967280933324,"0 0 0"
2,43,-3.852602093373555,"1 0.017469671053979813 1"
0,44,57.700129412792194,"0 0 0"
1,44,60.839742010501496,"0 0 0"
2,44,48.95693562678114,"0 0 0"
0,45,58.00899721443203,"0 0 0"
1,45,76.52715541367002,"0 0 0"
2,45,4.207516056567698,"1 0.01849592057362863 1"
0,46,54.035001756970644,"0 0 0"
1,46,67.21394375430972,"0 0 0"
2,46,0,"2 0.03873753926607975 1"
0,47,59.31865862842643,"0 0 0"
1,47,70.7829350114787,"0 0 0"
2,47,0,"2 0.02664581628205783 1"
0,48,40.62619876773918,"0 0 0"
1,48,64.67349263338322,"0 0 0"
2,48,56.265727465070626,"0 0 0"
0,49,0,"2 0.03193881991568512 1"
1,49,8.262630268367246,"1 0.01794930290275375 1"
2,49,0,"2 0.034179456136291954 1"
