technicianId,serviceId,distribution_offset,distribution
0,0,51.2631773431926,"0 0 0"
1,0,2.499289222260579,"1 0.020237483155665023 1"
2,0,55.95567358829668,"0 0 0"
0,1,69.06136317380621,"0 0 0"
1,1,69.23906246303125,"0 0 0"
2,1,-4.084302278273668,"1 0.018858341026684225 1"
0,2,70.78406840629201,"0 0 0"
1,2,66.69274225813405,"0 0 0"
2,2,73.62681854870974,"0 0 0"
0,3,55.72749520607348,"0 0 0"
1,3,0,"2 0.03468342739350578 1"
2,3,67.00698541640145,"0 0 0"
0,4,0,"2 0.027024331698069812 1"
1,4,62.32799458735612,"0 0 0"
2,4,-10.084582475528322,"1 0.018424697990332785 1"
0,5,63.74695265092628,"0 0 0"
1,5,0,"2 0.032078563433922375 1"
2,5,57.0829123494423,"0 0 0"
0,6,11.686261673837322,"1 0.020080382276194696 1"
1,6,0,"2 0.03468186639477615 1"
2,6,52.11603952273783,"0 0 0"
0,7,0,"2 0.03040238174086253 1"
1,7,-4.978552692850286,"1 0.018054604396888867 1"
2,7,4.449574348429877,"1 0.018760276895339125 1"
0,8,62.03978420885625,"0 0 0"
1,8,60.62266442542002,"0 0 0"
2,8,56.75545119283578,"0 0 0"
0,9,5.19700224884059,"1 0.017718774240321877 1"
1,9,11.178070945186626,"1 0.017436276597483032 1"
2,9,61.88406891162717,"0 0 0"
0,10,74.37194850813816,"0 0 0"
1,10,72.89165534648444,"0 0 0"
2,10,53.93985599960342,"0 0 0"
0,11,68.71079926765026,"0 0 0"
1,11,11.99441470270056,"1 0.021028193209738862 1"
2,11,45.787386720577324,"0 0 0"
0,12,62.94130130775769,"0 0 0"
1,12,45.9198383807611,"0 0 0"
2,12,49.35075154621867,"0 0 0"
0,13,62.949309529681855,"0 0 0"
1,13,52.95558378582118,"0 0 0"
2,13,0,"2 0.02358090538395185 1"
0,14,48.694293942501844,"0 0 0"
1,14,48.023907633047074,"0 0 0"
2,14,0,"2 0.04293803745879463 1"
0,15,5.446918412857208,"1 0.018482884682851204 1"
1,15,0,"2 0.035204236781518496 1"
2,15,52.323932296853705,"0 0 0"
0,16,-11.327992193905935,"1 0.01882274635401733 1"
1,16,60.02269259579548,"0 0 0"
2,16,64.97617017597909,"0 0 0"
0,17,52.54634932570477,"0 0 0"
1,17,54.842380689834286,"0 0 0"
2,17,58.674538781481736,"0 0 0"
0,18,62.341615105724564,"0 0 0"
1,18,27.288975938245876,"1 0.021267335598088823 1"
2,18,56.690907561843616,"0 0 0"
0,19,51.2989252070168,"0 0 0"
1,19,7.4864093093832125,"1 0.019072995823720514 1"
2,19,51.40332585173989,"0 0 0"
0,20,0,"2 0.04006730566042395 1"
1,20,59.93532473137495,"0 0 0"
2,20,57.56799782717825,"0 0 0"
0,21,54.815451674634105,"0 0 0"
1,21,0,"2 0.0349688371001866 1"
2,21,59.03394752757276,"0 0 0"
0,22,0,"2 0.027276379055693672 1"
1,22,56.35328451595471,"0 0 0"
2,22,59.279146898041006,"0 0 0"
0,23,53.95750271889385,"0 0 0"
1,23,66.04699679035477,"0 0 0"
2,23,57.392416433881955,"0 0 0"
0,24,56.00716661087202,"0 0 0"
1,24,47.73712840381244,"0 0 0"
2,24,0,"2 0.03509138293049843 1"
0,25,69.83135614750802,"0 0 0"
1,25,68.14682006760886,"0 0 0"
2,25,61.32438539982421,"0 0 0"
0,26,45.69375571147702,"0 0 0"
