technicianId,serviceId,distribution_offset,distribution
0,0,62.297010726656055,"0 0 0"
1,0,53.06853653423828,"0 0 0"
2,0,64.93283423366177,"0 0 0"
0,1,51.57403227646532,"0 0 0"
1,1,29.472099845868904,"1 0.029371910136891975 1"
2,1,32.16394404030925,"1 0.028635736614326588 1"
0,2,55.84356035190843,"0 0 0"
1,2,72.50467137178875,"0 0 0"
2,2,63.247323585101256,"0 0 0"
0,3,65.25467381909895,"0 0 0"
1,3,62.57926843714322,"0 0 0"
2,3,0,"3 0.04812182178732309 1"
0,4,71.2108763723203,"0 0 0"
1,4,52.01448772779688,"0 0 0"
2,4,49.4465263748506,"0 0 0"
0,5,62.71175269349046,"0 0 0"
1,5,68.85498300837891,"0 0 0"
2,5,64.03333528952534,"0 0 0"
0,6,44.44143010767679,"0 0 0"
1,6,25.550124982557623,"1 0.03246734544538307 1"
2,6,0,"3 0.05489433983183834 1"
0,7,0,"2 0.03639308252228825 1"
1,7,47.20029813272568,"0 0 0"
2,7,59.51603751978281,"0 0 0"
0,8,55.27049585421353,"0 0 0"
1,8,0,"2 0.031471116031085836 1"
2,8,0,"2 0.03166541398238087 1"
0,9,0,"3 0.04643038659682449 1"
1,9,64.02909110820707,"0 0 0"
2,9,67.61967595720907,"0 0 0"
0,10,62.96939467027866,"0 0 0"
1,10,64.39426655009918,"0 0 0"
2,10,72.14561519253144,"0 0 0"
0,11,0,"3 0.052688534253048994 1"
1,11,59.258409980676035,"0 0 0"
2,11,64.23497756068797,"0 0 0"
0,12,47.97696237460273,"0 0 0"
1,12,0,"4 0.05712220959179332 1"
2,12,6.091494356188399,"1 0.028499515326223336 1"
0,13,26.009508981745114,"1 0.025490150617918237 1"
1,13,60.3141723145652,"0 0 0"
2,13,0,"2 0.03309323288978309 1"
0,14,70.98345385658374,"0 0 0"
1,14,60.056277384599916,"0 0 0"
2,14,62.42576187969873,"0 0 0"
0,15,40.59242305445164,"0 0 0"
1,15,0,"3 0.043276338323765526 1"
2,15,55.575446310299405,"0 0 0"
0,16,60.438627630044174,"0 0 0"
1,16,0,"2 0.03359331089194457 1"
2,16,58.83861702049685,"0 0 0"
0,17,0,"2 0.03384771102448865 1"
1,17,7.71863819647281,"1 0.022434346092628916 1"
2,17,57.672544757589485,"0 0 0"
0,18,63.96707045410688,"0 0 0"
