serviceId,locationId,start_time,end_time
0,164,08:45:00 AM,14:45:00 PM
1,90,12:00:00 PM,14:00:00 PM
2,118,09:15:00 AM,13:15:00 PM
3,63,08:15:00 AM,14:15:00 PM
4,81,08:15:00 AM,12:15:00 PM
5,123,09:45:00 AM,13:45:00 PM
6,116,07:15:00 AM,13:15:00 PM
7,119,09:15:00 AM,13:15:00 PM
8,65,08:30:00 AM,14:30:00 PM
9,91,08:45:00 AM,14:45:00 PM
10,193,08:15:00 AM,14:15:00 PM
11,125,10:15:00 AM,14:15:00 PM
12,48,11:30:00 AM,13:30:00 PM
13,204,07:00:00 AM,09:00:00 AM
14,105,10:45:00 AM,14:45:00 PM
15,54,09:45:00 AM,15:45:00 PM
16,141,10:00:00 AM,14:00:00 PM
17,184,07:45:00 AM,13:45:00 PM
18,79,07:30:00 AM,13:30:00 PM
19,136,07:30:00 AM,11:30:00 AM
20,85,06:15:00 AM,12:15:00 PM
21,161,08:00:00 AM,14:00:00 PM
22,40,07:00:00 AM,13:00:00 PM
23,94,11:00:00 AM,15:00:00 PM
24,127,09:00:00 AM,13:00:00 PM
25,174,11:30:00 AM,13:30:00 PM
26,2,06:30:00 AM,12:30:00 PM
27,199,08:45:00 AM,14:45:00 PM
28,217,09:45:00 AM,15:45:00 PM
29,144,07:15:00 AM,13:15:00 PM
30,83,08:45:00 AM,14:45:00 PM
31,77,12:15:00 PM,14:15:00 PM
32,92,08:45:00 AM,12:45:00 PM
33,6,09:45:00 AM,13:45:00 PM
34,185,07:45:00 AM,13:45:00 PM
35,151,07:30:00 AM,13:30:00 PM
36,75,10:45:00 AM,14:45:00 PM
37,122,07:30:00 AM,11:30:00 AM
38,101,08:45:00 AM,14:45:00 PM
39,146,06:45:00 AM,12:45:00 PM
40,24,07:15:00 AM,13:15:00 PM
41,55,09:00:00 AM,15:00:00 PM
42,46,06:30:00 AM,12:30:00 PM
43,223,08:45:00 AM,12:45:00 PM
44,10,10:45:00 AM,12:45:00 PM
45,192,06:00:00 AM,10:00:00 AM
46,104,07:45:00 AM,09:45:00 AM
47,109,09:00:00 AM,15:00:00 PM
48,82,06:30:00 AM,10:30:00 AM
49,61,08:30:00 AM,14:30:00 PM
