serviceId,locationId,start_time,end_time
0,753,06:30:00 AM,08:30:00 AM
1,735,12:45:00 PM,14:45:00 PM
2,145,06:15:00 AM,12:15:00 PM
3,433,11:15:00 AM,13:15:00 PM
4,490,07:30:00 AM,09:30:00 AM
5,438,10:15:00 AM,16:15:00 PM
6,472,08:45:00 AM,10:45:00 AM
7,458,08:30:00 AM,12:30:00 PM
8,637,11:15:00 AM,13:15:00 PM
9,692,07:30:00 AM,11:30:00 AM
10,644,07:45:00 AM,09:45:00 AM
11,118,14:15:00 PM,16:15:00 PM
12,531,06:45:00 AM,10:45:00 AM
13,132,13:15:00 PM,15:15:00 PM
14,452,14:15:00 PM,16:15:00 PM
15,750,06:30:00 AM,10:30:00 AM
16,470,08:30:00 AM,14:30:00 PM
17,350,09:30:00 AM,13:30:00 PM
18,88,12:15:00 PM,16:15:00 PM
19,343,07:45:00 AM,09:45:00 AM
20,63,06:45:00 AM,10:45:00 AM
21,178,12:45:00 PM,14:45:00 PM
22,263,09:45:00 AM,15:45:00 PM
23,435,06:30:00 AM,08:30:00 AM
24,107,10:45:00 AM,16:45:00 PM
25,304,08:15:00 AM,10:15:00 AM
26,527,10:45:00 AM,16:45:00 PM
27,268,08:15:00 AM,10:15:00 AM
28,85,11:00:00 AM,13:00:00 PM
29,4,11:45:00 AM,15:45:00 PM
30,638,09:45:00 AM,13:45:00 PM
31,549,11:15:00 AM,13:15:00 PM
32,661,08:30:00 AM,12:30:00 PM
33,581,06:30:00 AM,08:30:00 AM
34,34,07:45:00 AM,11:45:00 AM
35,624,08:15:00 AM,12:15:00 PM
36,414,11:30:00 AM,15:30:00 PM
37,300,08:30:00 AM,10:30:00 AM
38,547,09:15:00 AM,13:15:00 PM
39,447,10:15:00 AM,12:15:00 PM
40,254,08:30:00 AM,14:30:00 PM
41,363,11:15:00 AM,15:15:00 PM
42,319,11:15:00 AM,13:15:00 PM
43,387,10:15:00 AM,16:15:00 PM
44,518,12:15:00 PM,16:15:00 PM
45,206,08:00:00 AM,10:00:00 AM
46,294,08:30:00 AM,10:30:00 AM
47,772,13:15:00 PM,15:15:00 PM
48,579,11:45:00 AM,13:45:00 PM
49,511,06:45:00 AM,08:45:00 AM
