serviceId,locationId,start_time,end_time
0,77,11:00:00 AM,17:00:00 PM
1,150,11:15:00 AM,17:15:00 PM
2,32,07:30:00 AM,13:30:00 PM
3,148,08:45:00 AM,14:45:00 PM
4,180,13:15:00 PM,17:15:00 PM
5,94,09:45:00 AM,13:45:00 PM
6,123,08:30:00 AM,14:30:00 PM
7,164,12:30:00 PM,16:30:00 PM
8,16,10:15:00 AM,14:15:00 PM
9,213,10:00:00 AM,14:00:00 PM
10,138,10:00:00 AM,16:00:00 PM
11,12,09:45:00 AM,13:45:00 PM
12,7,11:00:00 AM,13:00:00 PM
13,178,13:15:00 PM,17:15:00 PM
14,20,10:15:00 AM,16:15:00 PM
15,170,07:00:00 AM,13:00:00 PM
16,206,07:15:00 AM,13:15:00 PM
17,116,10:00:00 AM,16:00:00 PM
18,19,06:30:00 AM,10:30:00 AM
19,40,07:15:00 AM,13:15:00 PM
20,173,08:30:00 AM,14:30:00 PM
21,190,10:30:00 AM,14:30:00 PM
22,155,09:15:00 AM,15:15:00 PM
23,208,10:45:00 AM,16:45:00 PM
24,78,06:30:00 AM,12:30:00 PM
25,108,11:00:00 AM,17:00:00 PM
26,200,09:00:00 AM,15:00:00 PM
27,74,07:30:00 AM,13:30:00 PM
28,219,10:15:00 AM,14:15:00 PM
29,81,11:00:00 AM,17:00:00 PM
30,30,10:00:00 AM,16:00:00 PM
31,92,14:45:00 PM,16:45:00 PM
32,192,11:15:00 AM,17:15:00 PM
33,121,10:30:00 AM,16:30:00 PM
34,97,10:45:00 AM,12:45:00 PM
35,61,09:15:00 AM,15:15:00 PM
36,112,10:45:00 AM,16:45:00 PM
37,162,06:00:00 AM,08:00:00 AM
38,3,12:45:00 PM,16:45:00 PM
39,34,12:45:00 PM,16:45:00 PM
40,52,10:00:00 AM,16:00:00 PM
41,79,08:45:00 AM,12:45:00 PM
42,214,08:15:00 AM,14:15:00 PM
43,80,08:00:00 AM,14:00:00 PM
44,172,12:15:00 PM,16:15:00 PM
45,17,09:30:00 AM,15:30:00 PM
46,1,09:30:00 AM,15:30:00 PM
47,126,10:15:00 AM,16:15:00 PM
48,130,09:15:00 AM,15:15:00 PM
49,107,09:45:00 AM,15:45:00 PM
50,4,06:30:00 AM,12:30:00 PM
51,63,09:45:00 AM,15:45:00 PM
52,224,11:45:00 AM,15:45:00 PM
53,158,08:45:00 AM,12:45:00 PM
54,160,12:45:00 PM,16:45:00 PM
55,186,07:30:00 AM,11:30:00 AM
