serviceId,locationId,start_time,end_time
0,167,10:45:00 AM,16:45:00 PM
1,94,10:00:00 AM,16:00:00 PM
2,128,11:15:00 AM,17:15:00 PM
3,2,11:15:00 AM,17:15:00 PM
4,146,09:45:00 AM,11:45:00 AM
5,101,10:15:00 AM,16:15:00 PM
6,120,08:45:00 AM,14:45:00 PM
7,51,09:30:00 AM,15:30:00 PM
8,132,07:00:00 AM,13:00:00 PM
9,33,08:30:00 AM,12:30:00 PM
10,143,09:30:00 AM,15:30:00 PM
11,142,11:30:00 AM,15:30:00 PM
12,42,11:00:00 AM,13:00:00 PM
13,155,08:00:00 AM,14:00:00 PM
14,14,09:30:00 AM,13:30:00 PM
15,20,08:30:00 AM,14:30:00 PM
16,25,07:30:00 AM,13:30:00 PM
17,78,08:00:00 AM,14:00:00 PM
18,212,11:00:00 AM,13:00:00 PM
19,88,08:00:00 AM,14:00:00 PM
20,141,08:45:00 AM,14:45:00 PM
21,69,10:15:00 AM,12:15:00 PM
22,148,07:30:00 AM,11:30:00 AM
23,106,08:00:00 AM,14:00:00 PM
24,137,10:15:00 AM,16:15:00 PM
25,65,07:15:00 AM,13:15:00 PM
26,28,09:00:00 AM,11:00:00 AM
27,41,10:15:00 AM,16:15:00 PM
28,7,10:15:00 AM,16:15:00 PM
29,4,12:15:00 PM,14:15:00 PM
30,164,11:00:00 AM,13:00:00 PM
31,55,11:15:00 AM,17:15:00 PM
32,18,09:45:00 AM,15:45:00 PM
33,184,13:30:00 PM,15:30:00 PM
34,185,09:15:00 AM,15:15:00 PM
35,93,08:30:00 AM,10:30:00 AM
36,98,10:15:00 AM,16:15:00 PM
37,0,12:00:00 PM,16:00:00 PM
38,158,09:30:00 AM,15:30:00 PM
39,113,10:30:00 AM,16:30:00 PM
40,102,09:00:00 AM,13:00:00 PM
41,119,08:30:00 AM,14:30:00 PM
42,165,08:00:00 AM,14:00:00 PM
43,216,08:30:00 AM,14:30:00 PM
44,79,07:00:00 AM,11:00:00 AM
45,201,07:00:00 AM,09:00:00 AM
46,189,08:15:00 AM,10:15:00 AM
47,13,10:30:00 AM,16:30:00 PM
48,67,10:00:00 AM,14:00:00 PM
49,188,11:00:00 AM,17:00:00 PM
50,107,11:15:00 AM,15:15:00 PM
51,111,13:15:00 PM,15:15:00 PM
52,197,09:15:00 AM,15:15:00 PM
53,109,12:00:00 PM,14:00:00 PM
54,66,07:15:00 AM,13:15:00 PM
55,117,11:15:00 AM,13:15:00 PM
56,125,11:15:00 AM,13:15:00 PM
57,174,08:45:00 AM,10:45:00 AM
58,17,11:45:00 AM,15:45:00 PM
59,218,08:45:00 AM,14:45:00 PM
60,190,10:00:00 AM,14:00:00 PM
61,139,07:15:00 AM,11:15:00 AM
62,175,10:30:00 AM,14:30:00 PM
63,12,12:45:00 PM,14:45:00 PM
64,176,09:00:00 AM,15:00:00 PM
65,133,10:30:00 AM,12:30:00 PM
66,99,08:30:00 AM,14:30:00 PM
67,140,11:00:00 AM,15:00:00 PM
68,104,10:00:00 AM,16:00:00 PM
69,204,10:15:00 AM,14:15:00 PM
70,19,09:45:00 AM,15:45:00 PM
71,44,10:15:00 AM,14:15:00 PM
72,170,09:15:00 AM,13:15:00 PM
73,87,09:00:00 AM,13:00:00 PM
74,154,11:45:00 AM,15:45:00 PM
75,16,07:30:00 AM,13:30:00 PM
76,105,09:00:00 AM,15:00:00 PM
77,45,08:00:00 AM,14:00:00 PM
78,224,07:00:00 AM,11:00:00 AM
79,123,11:45:00 AM,13:45:00 PM
80,159,14:00:00 PM,16:00:00 PM
81,24,10:30:00 AM,12:30:00 PM
82,64,10:30:00 AM,14:30:00 PM
83,23,10:00:00 AM,16:00:00 PM
84,34,08:30:00 AM,12:30:00 PM
85,214,12:30:00 PM,16:30:00 PM
86,168,08:00:00 AM,14:00:00 PM
87,161,08:00:00 AM,14:00:00 PM
88,205,11:45:00 AM,13:45:00 PM
89,54,09:15:00 AM,15:15:00 PM
90,116,08:45:00 AM,14:45:00 PM
91,72,10:30:00 AM,16:30:00 PM
92,36,07:30:00 AM,13:30:00 PM
93,92,12:45:00 PM,16:45:00 PM
94,50,08:00:00 AM,14:00:00 PM
95,192,13:15:00 PM,15:15:00 PM
96,62,11:45:00 AM,15:45:00 PM
97,118,07:30:00 AM,13:30:00 PM
98,149,06:45:00 AM,12:45:00 PM
99,153,08:30:00 AM,14:30:00 PM
100,82,07:30:00 AM,13:30:00 PM
101,131,08:00:00 AM,14:00:00 PM
102,112,10:45:00 AM,14:45:00 PM
103,11,07:00:00 AM,13:00:00 PM
104,91,06:45:00 AM,12:45:00 PM
105,100,09:00:00 AM,15:00:00 PM
106,115,11:00:00 AM,15:00:00 PM
107,151,11:15:00 AM,15:15:00 PM
108,121,09:00:00 AM,11:00:00 AM
109,187,07:00:00 AM,13:00:00 PM
110,200,08:00:00 AM,10:00:00 AM
111,43,08:00:00 AM,14:00:00 PM
112,186,14:00:00 PM,16:00:00 PM
113,85,07:30:00 AM,13:30:00 PM
114,75,13:15:00 PM,17:15:00 PM
115,225,09:00:00 AM,15:00:00 PM
116,49,09:45:00 AM,11:45:00 AM
117,215,13:45:00 PM,15:45:00 PM
118,74,09:00:00 AM,15:00:00 PM
119,53,11:15:00 AM,17:15:00 PM
120,210,08:00:00 AM,12:00:00 PM
121,221,08:30:00 AM,14:30:00 PM
122,40,08:30:00 AM,14:30:00 PM
123,114,11:15:00 AM,17:15:00 PM
124,217,08:45:00 AM,14:45:00 PM
125,177,15:15:00 PM,17:15:00 PM
126,145,08:45:00 AM,14:45:00 PM
127,152,08:45:00 AM,14:45:00 PM
128,89,08:15:00 AM,14:15:00 PM
129,32,10:30:00 AM,14:30:00 PM
130,198,09:00:00 AM,13:00:00 PM
131,195,09:45:00 AM,13:45:00 PM
132,193,12:15:00 PM,16:15:00 PM
133,3,09:00:00 AM,13:00:00 PM
134,196,12:45:00 PM,16:45:00 PM
135,110,08:30:00 AM,14:30:00 PM
136,222,12:45:00 PM,14:45:00 PM
137,57,07:00:00 AM,09:00:00 AM
138,171,09:30:00 AM,15:30:00 PM
139,160,08:30:00 AM,14:30:00 PM
140,130,10:30:00 AM,12:30:00 PM
141,95,08:15:00 AM,12:15:00 PM
142,183,09:00:00 AM,13:00:00 PM
143,80,10:45:00 AM,12:45:00 PM
144,83,10:00:00 AM,14:00:00 PM
145,6,09:30:00 AM,13:30:00 PM
146,56,07:45:00 AM,13:45:00 PM
147,126,07:30:00 AM,13:30:00 PM
148,68,09:15:00 AM,15:15:00 PM
149,21,13:15:00 PM,17:15:00 PM
150,138,09:00:00 AM,15:00:00 PM
151,8,10:00:00 AM,16:00:00 PM
152,15,10:30:00 AM,16:30:00 PM
153,103,10:15:00 AM,14:15:00 PM
154,181,13:00:00 PM,17:00:00 PM
155,124,09:30:00 AM,11:30:00 AM
156,166,08:45:00 AM,10:45:00 AM
157,150,10:00:00 AM,12:00:00 PM
158,30,09:15:00 AM,15:15:00 PM
159,127,09:00:00 AM,15:00:00 PM
160,191,09:15:00 AM,15:15:00 PM
161,202,10:15:00 AM,16:15:00 PM
162,178,09:45:00 AM,11:45:00 AM
163,169,10:15:00 AM,16:15:00 PM
164,39,09:30:00 AM,13:30:00 PM
165,58,08:45:00 AM,14:45:00 PM
