technicianId,serviceId,distribution_offset,distribution
0,0,0,"2 0.04701645645958099 1"
1,0,0,"4 0.06128372939209387 1"
2,0,0,"2 0.04235111838768291 1"
3,0,0,"2 0.03645851897055762 1"
4,0,0,"2 0.03636051427796553 1"
5,0,0,"8 0.21998863031711674 0.75 12 0.1055010561135328 0.25"
6,0,0,"2 0.038213954477543055 1"
7,0,0,"3 0.04496451094979221 1"
8,0,0,"2 0.03725115647959328 1"
9,0,0,"6 0.19276401932690002 0.75 12 0.11331928367250568 0.25"
10,0,0,"2 0.03049106122220001 1"
11,0,0,"2 0.03752251322682092 1"
12,0,0,"2 0.04031834716417837 1"
13,0,0,"3 0.04852166753819216 1"
14,0,0,"2 0.0463041200001768 1"
0,1,0,"2 0.03829144583395832 1"
1,1,0,"4 0.06506449340672606 1"
2,1,0,"21 0.407911390492768 0.75 19 0.16583639809144235 0.25"
3,1,0,"4 0.06174669995900073 1"
4,1,0,"2 0.031215411279435425 1"
5,1,0,"3 0.04546377450893281 1"
6,1,0,"2 0.038915482293332894 1"
7,1,0,"3 0.047722259885276 1"
8,1,0,"6 0.07976598266526899 1"
9,1,0,"2 0.09587734763496722 0.75 9 0.0863497548031548 0.25"
10,1,0,"2 0.03782844686167947 1"
11,1,0,"2 0.03456619338050127 1"
12,1,0,"3 0.04442502528375306 1"
13,1,0,"2 0.033579746223126906 1"
14,1,0,"2 0.03848796103292372 1"
0,2,0,"3 0.04509675040256742 1"
1,2,0,"16 0.31009081858612114 0.75 16 0.12460149293420714 0.25"
2,2,0,"2 0.033116704138767154 1"
3,2,16.052747025431692,"1 0.0299166874050324 1"
4,2,0,"4 0.15835877871721438 0.75 10 0.09350819746727279 0.25"
5,2,0,"2 0.035828287777661914 1"
6,2,0,"3 0.058470531437381824 1"
7,2,0,"3 0.05398876910884923 1"
8,2,0,"3 0.04232812123495627 1"
9,2,0,"4 0.05474549949018498 1"
10,2,0,"2 0.03757520195299645 1"
11,2,0,"5 0.16455917124529112 0.75 11 0.10078574423786729 0.25"
12,2,0,"4 0.06439875483320008 1"
13,2,0,"2 0.035984092417339235 1"
14,2,0,"3 0.05586843893479747 1"
