technicianId,serviceId,distribution_offset,distribution
0,0,0,"2 0.09980695162009326 0.75 8 0.05713060916139324 0.25"
1,0,0,"2 0.033790772718927164 1"
2,0,0,"2 0.03812803296972464 1"
3,0,0,"2 0.039214196096825776 1"
4,0,0,"2 0.03972735502426322 1"
5,0,0,"2 0.030697257030439903 1"
6,0,0,"2 0.026482796533348056 1"
7,0,0,"5 0.14621373669697188 0.7500000000000001 11 0.08134180732072929 0.2499999999999999"
8,0,0,"2 0.035081779167132926 1"
9,0,0,"2 0.03520046287294104 1"
10,0,0,"3 0.03592357930676178 1"
11,0,0,"2 0.030100199322704017 1"
12,0,0,"2 0.03024606839570359 1"
13,0,-1.9028794178287356,"1 0.018415573474106352 1"
14,0,0,"2 0.030598650001602244 1"
15,0,0,"2 0.03671380257061054 1"
16,0,0,"2 0.027670934960623488 1"
17,0,0,"7 0.1567790726151021 0.75 11 0.06782496953273219 0.25"
18,0,0,"2 0.10007203050964376 0.75 8 0.05878944566371898 0.25"
19,0,0,"2 0.027930068358194508 1"
20,0,0,"4 0.12190769653294035 0.7499999999999999 10 0.06974587518082168 0.2500000000000001"
21,0,0,"2 0.04237432706299584 1"
22,0,0,"3 0.10310753918331635 0.7499999999999999 10 0.0763486227907373 0.2500000000000001"
23,0,0,"2 0.03255899648467291 1"
24,0,0,"2 0.03686195999745557 1"
25,0,0,"2 0.02682835256953845 1"
26,0,0,"2 0.02740943309543785 1"
27,0,0,"2 0.028050914743799275 1"
28,0,0,"6 0.161130272624923 0.7500000000000001 11 0.08186870751206714 0.2499999999999999"
29,0,0,"2 0.036757677277900525 1"
30,0,0,"2 0.04175874078656116 1"
31,0,13.274700970104696,"1 0.018323906178642515 1"
32,0,0,"2 0.0362201960845515 1"
33,0,0,"2 0.02844322939803129 1"
34,0,0,"2 0.03573524006386439 1"
35,0,0,"2 0.029870793388638073 1"
36,0,0,"3 0.0379020674918335 1"
37,0,0,"2 0.030585242273203077 1"
38,0,0,"2 0.032010529726914774 1"
39,0,0,"2 0.03548497428160269 1"
40,0,0,"2 0.043134099619083655 1"
41,0,0,"2 0.050916115766217275 1"
42,0,0,"2 0.03129478778650525 1"
43,0,0,"2 0.03812720197130729 1"
44,0,0,"2 0.030128067951501004 1"
45,0,0,"2 0.03187882748414524 1"
46,0,0,"2 0.10264631103202176 0.7500000000000001 8 0.06261148814869152 0.2499999999999999"
47,0,0,"2 0.030023069185629945 1"
48,0,0,"2 0.02908593048432619 1"
49,0,0,"2 0.030889712510370818 1"
50,0,0,"2 0.031379397711283216 1"
51,0,0,"5 0.13370111732621198 0.75 11 0.07336481342803898 0.25"
52,0,0,"3 0.039389070354958686 1"
53,0,0,"2 0.03310552442408156 1"
54,0,0,"2 0.0336980649548888 1"
0,1,0,"2 0.03016081972425011 1"
1,1,0,"2 0.036581409739146635 1"
2,1,0,"2 0.029442613637935357 1"
3,1,0,"2 0.037445952869273755 1"
4,1,0,"2 0.0378201534125724 1"
5,1,0,"2 0.031179540293826285 1"
6,1,0,"2 0.03342094290220576 1"
7,1,0,"2 0.0315974151010512 1"
8,1,0,"2 0.026797962510276618 1"
9,1,0,"6 0.16765888523661174 0.75 11 0.08228087709860606 0.25"
10,1,0,"2 0.029132145248221043 1"
11,1,0,"4 0.12165181011041332 0.75 10 0.06949989789404078 0.25"
12,1,0,"3 0.03871083511807472 1"
13,1,0,"2 0.03082283986387806 1"
14,1,0,"2 0.034849300895819155 1"
15,1,0,"2 0.030212671060095526 1"
16,1,15.36898941971635,"1 0.01884859989485126 1"
17,1,0,"2 0.028086008725071596 1"
18,1,0,"2 0.030769694131063133 1"
19,1,0,"7 0.16087680960304845 0.7499999999999999 12 0.08000844720893983 0.2500000000000001"
20,1,0,"7 0.18622711964053607 0.75 12 0.09349060865325684 0.25"
21,1,0,"2 0.034135652212008996 1"
22,1,0,"3 0.1008634876668588 0.7499999999999999 10 0.07187381903394861 0.2500000000000001"
23,1,0,"2 0.029816112196133393 1"
24,1,0,"2 0.035026505619763997 1"
25,1,0,"4 0.12313202008615753 0.7499999999999999 10 0.07172216260548388 0.2500000000000001"
26,1,0,"2 0.033912494670196684 1"
27,1,0,"2 0.02888109438718217 1"
28,1,0,"2 0.02394984822182812 1"
29,1,0,"2 0.029447602494944783 1"
30,1,0,"2 0.03930466257064861 1"
31,1,0,"2 0.02884304691741717 1"
32,1,0,"2 0.03064803842696125 1"
33,1,0,"2 0.038387087536721536 1"
34,1,0,"4 0.11117204825040394 0.7499999999999999 10 0.06462618693294649 0.2500000000000001"
35,1,0,"2 0.028556736767847115 1"
36,1,0,"2 0.030079357743016923 1"
37,1,0,"3 0.11630498540322726 0.75 9 0.07279270547279895 0.25"
