shiftId,technicianId,locationId,start_datetime,end_datetime
0,0,726,07/01/2019 09:30:00 AM,07/01/2019 17:30:00 PM
1,0,726,07/02/2019 09:30:00 AM,07/02/2019 17:30:00 PM
2,0,726,07/03/2019 09:30:00 AM,07/03/2019 17:30:00 PM
3,0,726,07/04/2019 09:30:00 AM,07/04/2019 17:30:00 PM
4,0,726,07/05/2019 09:30:00 AM,07/05/2019 17:30:00 PM
5,1,726,07/01/2019 09:30:00 AM,07/01/2019 17:30:00 PM
6,1,726,07/02/2019 09:30:00 AM,07/02/2019 17:30:00 PM
7,1,726,07/03/2019 09:30:00 AM,07/03/2019 17:30:00 PM
8,1,726,07/04/2019 09:30:00 AM,07/04/2019 17:30:00 PM
9,1,726,07/05/2019 09:30:00 AM,07/05/2019 17:30:00 PM
10,2,726,07/01/2019 07:00:00 AM,07/01/2019 15:00:00 PM
11,2,726,07/02/2019 07:00:00 AM,07/02/2019 15:00:00 PM
12,2,726,07/03/2019 07:00:00 AM,07/03/2019 15:00:00 PM
13,2,726,07/04/2019 07:00:00 AM,07/04/2019 15:00:00 PM
14,2,726,07/05/2019 07:00:00 AM,07/05/2019 15:00:00 PM
15,3,726,07/01/2019 08:30:00 AM,07/01/2019 16:30:00 PM
16,3,726,07/02/2019 08:30:00 AM,07/02/2019 16:30:00 PM
17,3,726,07/03/2019 08:30:00 AM,07/03/2019 16:30:00 PM
18,3,726,07/04/2019 08:30:00 AM,07/04/2019 16:30:00 PM
19,3,726,07/05/2019 08:30:00 AM,07/05/2019 16:30:00 PM
20,4,726,07/01/2019 09:30:00 AM,07/01/2019 17:30:00 PM
21,4,726,07/02/2019 09:30:00 AM,07/02/2019 17:30:00 PM
22,4,726,07/03/2019 09:30:00 AM,07/03/2019 17:30:00 PM
23,4,726,07/04/2019 09:30:00 AM,07/04/2019 17:30:00 PM
24,4,726,07/05/2019 09:30:00 AM,07/05/2019 17:30:00 PM
25,5,726,07/01/2019 09:00:00 AM,07/01/2019 17:00:00 PM
26,5,726,07/02/2019 09:00:00 AM,07/02/2019 17:00:00 PM
27,5,726,07/03/2019 09:00:00 AM,07/03/2019 17:00:00 PM
28,5,726,07/04/2019 09:00:00 AM,07/04/2019 17:00:00 PM
29,5,726,07/05/2019 09:00:00 AM,07/05/2019 17:00:00 PM
30,6,726,07/01/2019 06:00:00 AM,07/01/2019 14:00:00 PM
31,6,726,07/02/2019 06:00:00 AM,07/02/2019 14:00:00 PM
32,6,726,07/03/2019 06:00:00 AM,07/03/2019 14:00:00 PM
33,6,726,07/04/2019 06:00:00 AM,07/04/2019 14:00:00 PM
34,6,726,07/05/2019 06:00:00 AM,07/05/2019 14:00:00 PM
35,7,726,07/01/2019 09:30:00 AM,07/01/2019 17:30:00 PM
36,7,726,07/02/2019 09:30:00 AM,07/02/2019 17:30:00 PM
37,7,726,07/03/2019 09:30:00 AM,07/03/2019 17:30:00 PM
38,7,726,07/04/2019 09:30:00 AM,07/04/2019 17:30:00 PM
39,7,726,07/05/2019 09:30:00 AM,07/05/2019 17:30:00 PM
40,8,726,07/01/2019 07:00:00 AM,07/01/2019 15:00:00 PM
41,8,726,07/02/2019 07:00:00 AM,07/02/2019 15:00:00 PM
42,8,726,07/03/2019 07:00:00 AM,07/03/2019 15:00:00 PM
43,8,726,07/04/2019 07:00:00 AM,07/04/2019 15:00:00 PM
44,8,726,07/05/2019 07:00:00 AM,07/05/2019 15:00:00 PM
45,9,726,07/01/2019 09:30:00 AM,07/01/2019 17:30:00 PM
46,9,726,07/02/2019 09:30:00 AM,07/02/2019 17:30:00 PM
47,9,726,07/03/2019 09:30:00 AM,07/03/2019 17:30:00 PM
48,9,726,07/04/2019 09:30:00 AM,07/04/2019 17:30:00 PM
49,9,726,07/05/2019 09:30:00 AM,07/05/2019 17:30:00 PM
50,10,726,07/01/2019 07:30:00 AM,07/01/2019 15:30:00 PM
51,10,726,07/02/2019 07:30:00 AM,07/02/2019 15:30:00 PM
52,10,726,07/03/2019 07:30:00 AM,07/03/2019 15:30:00 PM
53,10,726,07/04/2019 07:30:00 AM,07/04/2019 15:30:00 PM
54,10,726,07/05/2019 07:30:00 AM,07/05/2019 15:30:00 PM
55,11,726,07/01/2019 08:30:00 AM,07/01/2019 16:30:00 PM
56,11,726,07/02/2019 08:30:00 AM,07/02/2019 16:30:00 PM
57,11,726,07/03/2019 08:30:00 AM,07/03/2019 16:30:00 PM
58,11,726,07/04/2019 08:30:00 AM,07/04/2019 16:30:00 PM
59,11,726,07/05/2019 08:30:00 AM,07/05/2019 16:30:00 PM
60,12,726,07/01/2019 08:30:00 AM,07/01/2019 16:30:00 PM
61,12,726,07/02/2019 08:30:00 AM,07/02/2019 16:30:00 PM
62,12,726,07/03/2019 08:30:00 AM,07/03/2019 16:30:00 PM
63,12,726,07/04/2019 08:30:00 AM,07/04/2019 16:30:00 PM
64,12,726,07/05/2019 08:30:00 AM,07/05/2019 16:30:00 PM
65,13,726,07/01/2019 07:00:00 AM,07/01/2019 15:00:00 PM
66,13,726,07/02/2019 07:00:00 AM,07/02/2019 15:00:00 PM
67,13,726,07/03/2019 07:00:00 AM,07/03/2019 15:00:00 PM
68,13,726,07/04/2019 07:00:00 AM,07/04/2019 15:00:00 PM
69,13,726,07/05/2019 07:00:00 AM,07/05/2019 15:00:00 PM
70,14,726,07/01/2019 07:00:00 AM,07/01/2019 15:00:00 PM
71,14,726,07/02/2019 07:00:00 AM,07/02/2019 15:00:00 PM
72,14,726,07/03/2019 07:00:00 AM,07/03/2019 15:00:00 PM
73,14,726,07/04/2019 07:00:00 AM,07/04/2019 15:00:00 PM
74,14,726,07/05/2019 07:00:00 AM,07/05/2019 15:00:00 PM
75,15,726,07/01/2019 09:00:00 AM,07/01/2019 17:00:00 PM
76,15,726,07/02/2019 09:00:00 AM,07/02/2019 17:00:00 PM
77,15,726,07/03/2019 09:00:00 AM,07/03/2019 17:00:00 PM
78,15,726,07/04/2019 09:00:00 AM,07/04/2019 17:00:00 PM
79,15,726,07/05/2019 09:00:00 AM,07/05/2019 17:00:00 PM
80,16,726,07/01/2019 09:00:00 AM,07/01/2019 17:00:00 PM
81,16,726,07/02/2019 09:00:00 AM,07/02/2019 17:00:00 PM
82,16,726,07/03/2019 09:00:00 AM,07/03/2019 17:00:00 PM
83,16,726,07/04/2019 09:00:00 AM,07/04/2019 17:00:00 PM
84,16,726,07/05/2019 09:00:00 AM,07/05/2019 17:00:00 PM
85,17,726,07/01/2019 09:30:00 AM,07/01/2019 17:30:00 PM
86,17,726,07/02/2019 09:30:00 AM,07/02/2019 17:30:00 PM
87,17,726,07/03/2019 09:30:00 AM,07/03/2019 17:30:00 PM
88,17,726,07/04/2019 09:30:00 AM,07/04/2019 17:30:00 PM
89,17,726,07/05/2019 09:30:00 AM,07/05/2019 17:30:00 PM
90,18,726,07/01/2019 07:00:00 AM,07/01/2019 15:00:00 PM
91,18,726,07/02/2019 07:00:00 AM,07/02/2019 15:00:00 PM
92,18,726,07/03/2019 07:00:00 AM,07/03/2019 15:00:00 PM
93,18,726,07/04/2019 07:00:00 AM,07/04/2019 15:00:00 PM
94,18,726,07/05/2019 07:00:00 AM,07/05/2019 15:00:00 PM
95,19,726,07/01/2019 08:30:00 AM,07/01/2019 16:30:00 PM
96,19,726,07/02/2019 08:30:00 AM,07/02/2019 16:30:00 PM
