serviceId,locationId,start_time,end_time
0,425,08:00:00 AM,14:00:00 PM
1,737,10:00:00 AM,16:00:00 PM
2,570,12:15:00 PM,14:15:00 PM
3,518,10:30:00 AM,12:30:00 PM
4,961,09:30:00 AM,13:30:00 PM
5,764,08:00:00 AM,14:00:00 PM
6,319,08:15:00 AM,12:15:00 PM
7,739,08:45:00 AM,12:45:00 PM
8,843,06:30:00 AM,12:30:00 PM
9,891,08:45:00 AM,14:45:00 PM
10,354,09:45:00 AM,15:45:00 PM
11,238,10:00:00 AM,16:00:00 PM
12,742,11:30:00 AM,15:30:00 PM
13,262,07:15:00 AM,13:15:00 PM
14,751,06:15:00 AM,12:15:00 PM
15,457,09:30:00 AM,13:30:00 PM
16,761,08:30:00 AM,14:30:00 PM
17,616,12:00:00 PM,16:00:00 PM
18,200,07:45:00 AM,11:45:00 AM
19,564,08:30:00 AM,12:30:00 PM
20,730,10:15:00 AM,12:15:00 PM
21,714,10:45:00 AM,16:45:00 PM
22,746,09:15:00 AM,15:15:00 PM
23,218,09:45:00 AM,13:45:00 PM
24,57,11:15:00 AM,15:15:00 PM
25,646,09:30:00 AM,15:30:00 PM
26,377,08:00:00 AM,14:00:00 PM
27,776,08:30:00 AM,14:30:00 PM
28,673,10:30:00 AM,16:30:00 PM
29,799,12:15:00 PM,14:15:00 PM
30,509,07:15:00 AM,11:15:00 AM
31,647,08:00:00 AM,12:00:00 PM
32,470,08:30:00 AM,14:30:00 PM
33,813,08:30:00 AM,14:30:00 PM
34,807,11:45:00 AM,13:45:00 PM
35,815,08:00:00 AM,12:00:00 PM
36,441,10:15:00 AM,14:15:00 PM
37,836,06:15:00 AM,12:15:00 PM
38,359,11:15:00 AM,15:15:00 PM
39,1,08:15:00 AM,14:15:00 PM
40,683,10:45:00 AM,14:45:00 PM
41,296,12:15:00 PM,14:15:00 PM
42,583,08:45:00 AM,14:45:00 PM
43,533,07:15:00 AM,13:15:00 PM
44,220,06:45:00 AM,12:45:00 PM
45,137,09:45:00 AM,15:45:00 PM
46,115,11:15:00 AM,17:15:00 PM
47,832,08:30:00 AM,14:30:00 PM
48,831,07:00:00 AM,13:00:00 PM
49,833,06:30:00 AM,12:30:00 PM
50,695,07:30:00 AM,13:30:00 PM
51,405,06:30:00 AM,12:30:00 PM
52,494,13:15:00 PM,17:15:00 PM
53,182,10:45:00 AM,16:45:00 PM
54,750,08:30:00 AM,12:30:00 PM
55,295,08:30:00 AM,14:30:00 PM
56,41,07:30:00 AM,13:30:00 PM
57,104,12:45:00 PM,14:45:00 PM
58,599,08:00:00 AM,12:00:00 PM
59,243,13:30:00 PM,15:30:00 PM
60,812,10:00:00 AM,12:00:00 PM
61,325,06:45:00 AM,12:45:00 PM
62,733,07:45:00 AM,09:45:00 AM
63,863,08:30:00 AM,12:30:00 PM
64,876,14:15:00 PM,16:15:00 PM
65,168,07:00:00 AM,13:00:00 PM
66,713,11:00:00 AM,17:00:00 PM
67,757,08:00:00 AM,14:00:00 PM
68,699,11:00:00 AM,17:00:00 PM
69,455,08:15:00 AM,10:15:00 AM
