technicianId,serviceId,distribution_offset,distribution
0,0,0,"7 0.18521402379893728 0.75 12 0.09744353363508425 0.25"
1,0,0,"2 0.039850554460275696 1"
2,0,0,"3 0.050479843954105125 1"
3,0,0,"2 0.03544408890538798 1"
4,0,0,"11 0.2614111946732925 0.75 14 0.11954323144030514 0.25"
5,0,0,"2 0.04111022666658383 1"
6,0,0,"15 0.3309740712806929 0.75 16 0.14353801206925734 0.25"
7,0,0,"2 0.035674533427329014 1"
8,0,0,"3 0.051473904054819365 1"
9,0,0,"4 0.05869313096681075 1"
10,0,0,"2 0.035963765305281115 1"
11,0,0,"2 0.031452146542556736 1"
12,0,0,"4 0.06349002185929264 1"
13,0,0,"2 0.035107130037763425 1"
14,0,0,"2 0.03882996517879724 1"
15,0,0,"3 0.049145330924860495 1"
16,0,0,"2 0.033002128051516644 1"
17,0,0,"5 0.07261592589757924 1"
18,0,0,"3 0.04510925848598901 1"
19,0,0,"4 0.06352631004382331 1"
20,0,0,"2 0.04131809155583006 1"
21,0,0,"3 0.042505580610961095 1"
22,0,0,"10 0.23885367230459448 0.75 14 0.1170728599887315 0.25"
23,0,0,"2 0.032132879307869615 1"
24,0,0,"2 0.03216637234290779 1"
25,0,0,"5 0.07631911519714205 1"
26,0,34.19581747700765,"1 0.026128374084252972 1"
27,0,0,"2 0.031029337125093846 1"
28,0,0,"2 0.03182408337775916 1"
29,0,0,"13 0.30075719912041265 0.75 15 0.1316572037079231 0.25"
30,0,0,"4 0.06456207969259178 1"
31,0,0,"14 0.3015133194486117 0.75 15 0.12503253015865398 0.25"
32,0,0,"3 0.04361031856641994 1"
33,0,0,"3 0.0397473151778226 1"
34,0,0,"3 0.04862739952689478 1"
35,0,0,"20 0.40206365183075954 0.75 18 0.16039688950169392 0.25"
36,0,0,"2 0.035485703427392594 1"
37,0,25.917782895938167,"1 0.030661352692618667 1"
38,0,0,"4 0.05500890381392663 1"
39,0,0,"2 0.03732166493214028 1"
40,0,0,"3 0.0480536986006953 1"
41,0,0,"2 0.04185259619094323 1"
42,0,0,"3 0.048742226363021175 1"
43,0,0,"3 0.04737331128544959 1"
44,0,0,"3 0.05449490737664528 1"
45,0,0,"2 0.03020750865994208 1"
46,0,0,"2 0.03189057718422197 1"
47,0,23.28671659311307,"1 0.026804971837664757 1"
48,0,0,"3 0.04937503694195823 1"
49,0,0,"7 0.19090590454241801 0.75 12 0.09943338406141482 0.25"
50,0,0,"9 0.2544720586248016 0.7499999999999999 13 0.124790177696071 0.2500000000000001"
51,0,0,"2 0.03817330258281091 1"
52,0,0,"3 0.05053501751359167 1"
53,0,21.58664856247517,"1 0.022489270499864832 1"
54,0,0,"8 0.22880112041734565 0.7500000000000001 13 0.12435369824209565 0.2499999999999999"
55,0,0,"2 0.042169287806823205 1"
56,0,0,"2 0.033935706335311136 1"
