technicianId,serviceId,distribution_offset,distribution
0,0,0,"2 0.04088485138786897 1"
1,0,52.644169527666214,"0 0 0"
2,0,54.08189904463836,"0 0 0"
3,0,60.04183824283161,"0 0 0"
4,0,51.30122557856147,"0 0 0"
5,0,56.73240644064867,"0 0 0"
6,0,38.000867665855424,"0 0 0"
7,0,0,"6 0.14950218940441368 0.75 11 0.07411989493606316 0.25"
8,0,48.727919722051595,"0 0 0"
9,0,0,"2 0.03937779718547995 1"
0,1,60.70148448952419,"0 0 0"
1,1,-16.212888950717677,"1 0.01717121054951731 1"
2,1,8.0777296054505,"1 0.020003963981668864 1"
3,1,54.69542731624054,"0 0 0"
4,1,68.95682667958849,"0 0 0"
5,1,0,"2 0.03210404130110206 1"
6,1,57.618381479714884,"0 0 0"
7,1,51.458330020042894,"0 0 0"
8,1,62.60974072106324,"0 0 0"
9,1,75.49772129529434,"0 0 0"
0,2,0,"2 0.027650714594963283 1"
1,2,0,"2 0.08037023091261444 0.7499999999999999 9 0.06357922982813764 0.2500000000000001"
2,2,64.96747624847478,"0 0 0"
3,2,61.45277485022112,"0 0 0"
4,2,64.27786290926839,"0 0 0"
5,2,5.388858110815683,"1 0.01770011507552638 1"
6,2,56.3803465098654,"0 0 0"
7,2,50.494001335910966,"0 0 0"
8,2,3.3098138099824013,"1 0.01787543710576359 1"
9,2,64.04399402136701,"0 0 0"
0,3,0,"2 0.032442368005607444 1"
1,3,54.29267363629295,"0 0 0"
2,3,64.90306508854614,"0 0 0"
3,3,66.91103794895525,"0 0 0"
4,3,56.41365347664007,"0 0 0"
5,3,55.97735773384058,"0 0 0"
6,3,61.289186192286515,"0 0 0"
7,3,54.807887711320056,"0 0 0"
8,3,63.60545577574048,"0 0 0"
9,3,0,"2 0.035795802746321506 1"
0,4,46.716524216565595,"0 0 0"
1,4,67.1033508290006,"0 0 0"
2,4,53.2624896751323,"0 0 0"
3,4,74.38059921909725,"0 0 0"
4,4,53.08035416345354,"0 0 0"
5,4,-14.210247794832647,"1 0.01681244896018429 1"
6,4,60.273170317795824,"0 0 0"
7,4,57.57705296444931,"0 0 0"
8,4,59.261574875797514,"0 0 0"
9,4,57.754532683153826,"0 0 0"
0,5,52.631676054642575,"0 0 0"
1,5,58.79243637295411,"0 0 0"
2,5,0,"2 0.03036764063408976 1"
3,5,62.61831672770607,"0 0 0"
4,5,0,"2 0.038931545476354454 1"
5,5,0,"2 0.0391481469830602 1"
6,5,51.211593226313845,"0 0 0"
7,5,58.1636328941628,"0 0 0"
